CLICODIGO;CLIMONEDA
3M000412;2
3M000413;2
3M000414;2
3M000415;2
3M000416;2
3M000417;2
3M000418;2
3M000419;2
3M000420;2
3M000421;2
3M000422;2
3M000423;2
3M000424;2
3M000425;2
3M000426;2
3M000427;2
3M000428;2
3M000429;2
3M000430;2
3M000431;2
3M000432;2
3M000433;2
3M000434;2
3M000435;2
3M000436;2
3M000437;2
3M000438;2
3M000439;2
3M000440;2
3M000441;2
3M000442;2
3M000443;2
3M000444;2
3M000445;2
3M000446;2
3M000447;2
3M000448;2
3M000449;2
3M000450;2
3M000451;2
3M000452;2
3M000453;2
3M000454;2
3M000455;2
3M000456;2
3M000457;2
3M000458;2
3M000459;2
3M000460;2
3M000461;2
3M000462;2
3M000463;2
3M000464;2
3M000465;2
3M000466;2
3M000467;2
3M000468;2
3M000469;2
3M000470;2
3M000471;2
3M000472;2
3M000473;2
3M000474;2
3M000475;2
3M000476;2
3M000477;2
3M000478;2
3M000479;2
3M000480;2
3M000481;2
3M000482;2
3M000483;2
3M000484;2
3M000485;2
3M000486;2
3M000487;2
3M000488;2
3M000489;2
3M000490;2
3M000491;2
3M000492;2
3M000493;2
3M000494;2
3M000495;2
3M000496;2
3M000497;2
3M000498;2
3M000499;2
3M000500;2
3M000501;2
3M000502;2
3M000503;2
3M000504;2
3M000505;2
3M000506;2
3M000507;2
3M000508;2
3M000509;2
3M000510;2
3M000001;2
3M000002;2
3M000003;2
3M000004;2
3M000005;2
3M000006;2
3M000007;2
3M000008;2
3M000009;2
3M000010;2
3M000011;2
3M000012;2
3M000013;2
3M000014;2
3M000015;2
3M000016;2
3M000017;2
3M000018;2
3M000019;2
3M000020;2
3M000021;2
3M000022;2
3M000023;2
3M000024;2
3M000025;2
3M000026;2
3M000027;2
3M000028;2
3M000029;2
3M000030;2
3M000031;2
3M000032;2
3M000676;2
3M000677;2
3M000678;2
3M000679;2
3M000680;2
3M000681;2
3M000682;2
3M000683;2
3M000684;2
3M000685;2
3M000686;2
3M000687;2
3M000688;2
3M000689;2
3M000690;2
3M000691;2
3M000692;2
3M000693;2
3M000694;2
3M000695;2
3M000696;2
3M000697;2
3M000698;2
3M000699;2
3M000700;2
3M000701;2
3M000702;2
3M000703;2
3M000704;2
3M000705;2
3M000706;2
3M000707;2
3M000708;2
3M000033;2
3M000034;2
3M000035;2
3M000036;2
3M000037;2
3M000038;2
3M000039;2
3M000040;2
3M000041;2
3M000042;2
3M000043;2
3M000044;2
3M000045;2
3M000046;2
3M000047;2
3M000048;2
3M000049;2
3M000050;2
3M000051;2
3M000052;2
3M000053;2
3M000054;2
3M000055;2
3M000056;2
3M000057;2
3M000058;2
3M000059;2
3M000060;2
3M000061;2
3M000062;2
3M000063;2
3M000064;2
3M000065;2
3M000066;2
3M000067;2
3M000068;2
3M000069;2
3M000070;2
3M000071;2
3M000072;2
3M000073;2
3M000074;2
3M000075;2
3M000076;2
3M000077;2
3M000078;2
3M000079;2
3M000080;2
3M000081;2
3M000082;2
3M000083;2
3M000084;2
3M000085;2
3M000086;2
3M000087;2
3M000088;2
3M000089;2
3M000090;2
3M000091;2
3M000092;2
3M000093;2
3M000094;2
3M000095;2
3M000096;2
3M000097;2
3M000098;2
3M000099;2
3M000100;2
3M000101;2
3M000102;2
3M000103;2
3M000104;2
3M000105;2
3M000106;2
3M000107;2
3M000108;2
3M000109;2
3M000110;2
3M000111;2
3M000112;2
3M000113;2
3M000114;2
3M000115;2
3M000116;2
3M000117;2
3M000118;2
3M000119;2
3M000120;2
3M000121;2
3M000122;2
3M000123;2
3M000124;2
3M000125;2
3M000126;2
3M000127;2
3M000128;2
3M000129;2
3M000130;2
3M000131;2
3M000132;2
3M000133;2
3M000134;2
3M000135;2
3M000136;2
3M000137;2
3M000138;2
3M000139;2
3M000140;2
3M000141;2
3M000142;2
3M000143;2
3M000144;2
3M000145;2
3M000146;2
3M000147;2
3M000148;2
3M000149;2
3M000150;2
3M000151;2
3M000152;2
3M000153;2
3M000154;2
3M000155;2
3M000156;2
3M000157;2
3M000158;2
3M000159;2
3M000160;2
3M000161;2
3M000162;2
3M000163;2
3M000164;2
3M000165;2
3M000166;2
3M000167;2
3M000168;2
3M000169;2
3M000170;2
3M000171;2
3M000172;2
3M000173;2
3M000174;2
3M000175;2
3M000176;2
3M000177;2
3M000178;2
3M000179;2
3M000180;2
3M000181;2
3M000182;2
3M000183;2
3M000184;2
3M000185;2
3M000186;2
3M000187;2
3M000188;2
3M000189;2
3M000190;2
3M000191;2
3M000192;2
3M000193;2
3M000194;2
3M000195;2
3M000196;2
3M000197;2
3M000198;2
3M000199;2
3M000200;2
3M000201;2
3M000202;2
3M000203;2
3M000204;2
3M000205;2
3M000206;2
3M000207;2
3M000208;2
3M000209;2
3M000210;2
3M000211;2
3M000212;2
3M000213;2
3M000214;2
3M000215;2
3M000216;2
3M000217;2
3M000218;2
3M000219;2
3M000220;2
3M000221;2
3M000222;2
3M000223;2
3M000224;2
3M000225;2
3M000226;2
3M000227;2
3M000228;2
3M000229;2
3M000230;2
3M000231;2
3M000232;2
3M000233;2
3M000234;2
3M000235;2
3M000236;2
3M000237;2
3M000238;2
3M000239;2
3M000240;2
3M000241;2
3M000242;2
3M000243;2
3M000244;2
3M000245;2
3M000246;2
3M000247;2
3M000248;2
3M000249;2
3M000250;2
3M000251;2
3M000252;2
3M000253;2
3M000254;2
3M000255;2
3M000256;2
3M000257;2
3M000258;2
3M000259;2
3M000260;2
3M000261;2
3M000262;2
3M000263;2
3M000264;2
3M000265;2
3M000266;2
3M000267;2
3M000268;2
3M000269;2
3M000270;2
3M000271;2
3M000272;2
3M000273;2
3M000274;2
3M000275;2
3M000276;2
3M000277;2
3M000278;2
3M000279;2
3M000280;2
3M000281;2
3M000282;2
3M000283;2
3M000284;2
3M000285;2
3M000286;2
3M000287;2
3M000288;2
3M000289;2
3M000290;2
3M000291;2
3M000292;2
3M000293;2
3M000294;2
3M000295;2
3M000296;2
3M000297;2
3M000298;2
3M000299;2
3M000300;2
3M000301;2
3M000302;2
3M000303;2
3M000304;2
3M000305;2
3M000306;2
3M000307;2
3M000308;2
3M000309;2
3M000310;2
3M000311;2
3M000312;2
3M000313;2
3M000314;2
3M000315;2
3M000316;2
3M000317;2
3M000318;2
3M000319;2
3M000320;2
3M000321;2
3M000322;2
3M000323;2
