;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ANTES DE INSTALACION;;;IMP;IMPORTACION;;92;12,7%;;;Total de equipos instalados;;;;;514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;EOB;EQUIPO EN OBRA;;31;4,3%;;;Total de equipos en mantenimiento;;;;;501;TEF; -;PER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;EOF;EQUIPO EN OFICINA;;16;2,2%;;;Total de equipos con contratos vigentes;;;;;EN DESAR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FA I;INSTAL. FASE  I;;7;1,0%;;;Número de contratos cerrados;;;;; R 141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FA II;INSTAL. FASE  II;;62;8,5%;;;Número de contratos en mantenimiento gratuito ;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PPC;PARADO CLIENTE;;9;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FR;FALTA REPUESTO;;0;0,0%;;;Número de contratos a renovar;;;;;EN DESAR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;TOTAL POR FUNCIONAR;;;217;29,9%;;;Número de contratos perdidos;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Periodo promedio de los contratos vigentes ;;;;;EN DESAR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PARQUE ASCENSORES;;;GRA;MANT. GRATUITO;;17;2,3%;;;Periodo promedio de los contratos cerrados y renovados;;;;;EN DESAR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CRI;CRITICO (deben);;30;4,1%;PARA COBRAR;;Promedio del valor de los contratos vigentes;;;;;EN DESAR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;MAN;MANTENIMIENTO ;;440;60,6%;;;Promedio del valor de los contratos cerrados y renovados;;;;;EN DESAR.;;;;cobros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FC;MAN. FUERA DE CONTROL;;0;0,0%;;;RELACION DE INSTALADOS VRS MANTENIMIENTO;;;;;97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP;MANT. ESPECIAL;;1;0,1%;;;RELACION DE MANTENIMIENTO VRS PERDIDOS;;;;;0,80%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
