codigo;Chasis;monedaprevision_simec;NUEVO CODIGO SIMEC;NOMBRE EN SIMEC
614;86822;2;2MC00001;25_DE_MAYO_82822
648;85838;2;2MC00002;4_ESTACIONES_85838
649;85839;2;2MC00003;4_ESTACIONES_85839
1028;44773;2;2MC00004;6_CIELOS_44773
765;95319;2;2MC00005;ABSOLUM_95319
458;65959;2;2MC00006;ACUARIO_65959
459;65960;2;2MC00007;ACUARIO_65960
98;17946;2;2MC00008;ADVENIR_17946
99;17947;2;2MC00009;ADVENIR_17947
975;41513;2;2MC00010;ADVENIR_II_41513
643;85384;2;2MC00011;AE_85384
658;87200;2;2MC00012;AGABE_87200
486;68507;2;2MC00013;AGENAL_SCZ_68507
927;38088;2;2MC00014;AGREDA_ROJAS_38088
50;1444;2;2MC00015;AIDISA_01444
427;62170;2;2MC00016;AIS_B_62170
1452;66678;2;2MC01199;ALAMOS_66678
1470;67175;2;2MC01200;ALAMOS_BENITEZ_67175
241;34976;2;2MC00017;ALBERTO_I_34976
1549;74108;2;2MC01230;ALCOCER_MENDOZA_74108
1127;50078;2;2MC00659;ALEJANDRO_50078
55;14684;2;2MC00018;ALESSANDRIA_14684
1097;47076;2;2MC00019;ALFANE_47076
518;73633;2;2MC00020;ALHAMBRA_73633
519;73634;2;2MC00021;ALHAMBRA_73634
342;4654;2;2MC00022;ALHAMBRA_II_4654
1430;64581;2;2MC01201;ALMA_DE_NIÑO_64581
516;73315;2;2MC00023;ALMARO_73315
726;92278;2;2MC00024;ALMUDENA_92278
576;79362;2;2MC00025;ALTAMIRA_79362
577;79363;2;2MC00026;ALTAMIRA_79363
578;79364;2;2MC00027;ALTAMIRA_79364
1037;44059;2;2MC00028;ALTON_TOWER_44059
1038;44060;2;2MC00029;ALTON_TOWER_44060
1019;45085;2;2MC00030;ALTOS_DEL_PARQUE_45085
1020;45086;2;2MC00031;ALTOS_DEL_PARQUE_45086
764;95313;2;2MC00032;ALVAREZ_95313
805;29239;2;2MC00033;ALVAREZ_HUMBOLT_29239
570;77886;2;2MC00034;ALY_77886
455;65689;2;2MC00035;AMBAR_65689
1534;73652;2;2MC01337;AMERICA_1095_73652
774;25767;2;2MC00036;AMERICAS_25767
775;25768;2;2MC00037;AMERICAS_25768
763;9516;2;2MC00039;AMERICAS_II_9516
1200;69171;2;2MC00038;AMERICAS_I_69171
1129;50298;2;2MC00041;AMERICAS_III_50298
1489;67631;2;2MC01222;AMERICAS_III_TORRE_II_67631
514;73279;2;2MC00042;AMI_73279
754;94554;2;2MC00043;AMISTAD_94554
569;77884;2;2MC00044;ANA_BEATRIZ_77884
795;28936;2;2MC00045;ANDALUZ_II_A_28936
796;28937;2;2MC00046;ANDALUZ_II_B_28937
409;58478;2;2MC00047;ANDRADE_58478
454;65231;2;2MC00050;ANGELO_65231
1167;52121;2;2MC01173;ANTARA_52121
49;13972;2;2MC00051;ANTOFAGASTA_13972
416;5946;2;2MC00052;ANTONIA_5946
267;35761;2;2MC00056;APART_HOTEL_LUXOR_35761
640;8504;2;2MC00053;APART_HOTEL_ANTEUS_08504
515;73282;2;2MC00054;APART_HOTEL_ARASAN_73282
949;39673;2;2MC00057;APART_HOTEL_OLMOS_39673
309;4160;2;2MC00058;AQUARELA_4160
392;56708;2;2MC00059;ARANDIA_56708
523;74498;2;2MC00060;ARANIBAR_ASBUN_74498
496;69173;2;2MC00062;ARANJUEZ_69173
901;34538;2;2MC00063;ARBOLEDA_34538
902;34539;2;2MC00064;ARBOLEDA_34539
417;59655;2;2MC00065;ARCANGEL_59655
998;42818;2;2MC00066;AREVALO_42818
1315;58553;2;2MC01151;VILLA_OLIMPICA_II_B_CYC_58553
1316;58552;2;2MC01144;VILLA_OLIMPICA_B_CYC_58552
1083;45446;2;2MC00067;ARIA_45446
1102;48430;2;2MC00068;ARIA_II_48430
1103;48431;2;2MC00069;ARIA_II_48431
1104;48435;2;2MC00070;ARIA_III_48435
1501;70175;2;2MC01310;ARNEZ_LIZARAZU_70175
1675;81089;2;2MC01311;ARNEZ_PEÑA_81089
715;9141;2;2MC00072;ARPITA_9141
325;43810;2;2MC00073;ARTEMISA_A_43810
326;43811;2;2MC00074;ARTEMISA_B_43811
1311;58534;2;2MC01140;VILLA_OLIMPICA_A_COBOCE_58534
1327;58535;2;2MC01150;VILLA_OLIMPICA_II_B_COBOCE_58535
233;34614;2;2MC00075;ARZOBISPADO_34614
371;53693;2;2MC00076;ASTARTE_53693
372;53694;2;2MC00077;ASTARTE_53694
240;34975;2;2MC00078;ATENEA_34975
1013;44797;2;2MC00079;ATLANTA_A_44797
1014;44798;2;2MC00080;ATLANTA_B_44798
337;4644;2;2MC00082;ATLANTIC_44644
338;4645;2;2MC00083;ATLANTIC_44645
336;4643;2;2MC00081;ATLANTIC_44643
1291;57968;2;2MC00360;ATLETIC_57968
722;91767;2;2MC00085;AVENTURA_91767
1098;47290;2;2MC00086;AXEL_47290
276;362;2;2MC00087;AXIS_ARANJUEZ_362
277;363;2;2MC00088;AXIS_ARANJUEZ_363
1240;55610;2;2MC01161;AYALA_SAAVEDRA_55610
1372;60566;2;2MC01121;BALI_60566
1373;60567;2;2MC01122;BALI_60567
708;90630;2;2MC00089;BANCO_BISA_90630
17;11680;2;2MC00090;BANCO_UNION_11680
18;11681;2;2MC00091;BANCO_UNION_11681
504;70850;2;2MC00092;BARAKA_70850
903;35022;2;2MC00093;BARCELO_35022
955;38871;2;2MC00094;BARCELO_HUALLPARIMACHI_BLOQ_A_38871
956;38872;2;2MC00095;BARCELO_HUALLPARIMACHI_BLOQ_B_38872
38;13380;2;2MC00096;BARI_13380
991;41888;2;2MC00097;BARTOLINA_IA_41888
992;41889;2;2MC00098;BARTOLINA_IB_41889
1042;43615;2;2MC00099;BARTOLINA_IIA_43615
1043;43616;2;2MC00100;BARTOLINA_IIB_43616
631;84421;2;2MC00101;BAYRES_84421
686;89572;2;2MC00103;BAZAN_89572
685;89571;2;2MC00102;BAZAN_89571
819;24847;2;2MC00104;BAZAN_II_24847
769;9828;2;2MC00105;BELGRANO_9828
824;29773;2;2MC00106;BELLA_VISTA_29773
1039;45072;2;2MC00107;BELLA_VISTA_NORTE_45062
25;25014;2;2MC00108;BELMONT_25014
666;E87637;2;2MC00109;BELZU_87637
480;67899;2;2MC00110;BENI_67899
481;E67900;2;2MC00111;BENI_67900
798;28940;2;2MC00112;BH_OFICINA_28940
797;28941;2;2MC00113;BH_PARQ_28941
912;36681;2;2MC00114;BLANQUI_36681
1332;58545;2;2MC01052;VILLA_OLIMPICA_II_A_TITANIUM_58545
1337;58544;2;2MC01156;VILLA_OLIMPICA_II_B_TITANIUM_58544
1310;58560;2;2MC01143;VILLA_OLIMPICA_B_COBOCE_58560
1325;58561;2;2MC01149;VILLA_OLIMPICA_II_B_COBOCE_58561
254;35374;2;2MC00115;BRISAS_A_35374
255;35375;2;2MC00116;BRISAS_B_35375
155;2247;2;2MC00118;BRISAS_DEL_NORTE_A_2247
157;2248;2;2MC00117;BRISAS_DEL_NORTE_02248
781;27378;2;2MC00119;BRISAS_DEL_PARQUE_27378
782;27379;2;2MC00120;BRISAS_DEL_PARQUE_27379
892;35548;2;2MC00121;BRISAS_DEL_PARQUE_II_35548
893;35549;2;2MC00122;BRISAS_DEL_PARQUE_II_35549
80;16658;2;2MC00124;BRITAM_16658
175;23138;2;2MC00126;BUGANVILLAS_B_23138
174;23137;2;2MC00125;BUGANVILLAS_A_23137
218;KNF2089;2;2MC00127;CAFERGU_ESC01_KNF2089
166;229;2;2MC00128;CAISO_A_229
167;230;2;2MC00129;CAISO_B_230
680;89146;2;2MC00130;CAJA_CORDES_MONTACAMILLAS_89146
681;89147;2;2MC00131;CAJA_CORDES_SOCIAL_89147
603;81993;2;2MC00132;CAJA_DE_SALUD_BCA_PRIVADA_81993
1233;55495;2;2MC01202;CAJA_PRETROLERA_DE_SALUD_55495
462;66129;2;2MC00133;CALA_CALA_A_66129
463;66130;2;2MC00134;CALA_CALA_B_66130
762;9512;2;2MC00135;CALA_I_9512
602;81540;2;2MC00136;CAMARA_FORESTAL_A81540
268;35793;2;2MC00137;CAMPERO_35793
257;35427;2;2MC00138;CAMPOVERDE_35427
571;78676;2;2MC00139;CAMPOVERDE_BENI_78676
145;2169;2;2MC00140;CAMPOVERDE_II_2169
742;94021;2;2MC00141;CANDY_94021
1252;57127;2;2MC01176;CANTABRIA_57127
415;59346;2;2MC00142;CAPRILES_59346
331;4514;2;2MC00143;CARABELA_A_04514
332;4515;2;2MC00144;CARABELA_B_04515
1000;42862;2;2MC00145;CARBALLO_MURGA_42862
398;57699;2;2MC00146;CARDIE_57699
1509;70788;2;2MC01232;CARILO_70788
196;26595;2;2MC00147;CARRARA_26595
731;93579;2;2MC00148;CASA_DE_REP_LA_COLONIA_93579
189;25390;2;2MC00149;CASA_DE_REP_LA_COLONIA_HIDRAL_25390
536;75522;2;2MC00150;CASA_GRANDE_75522
37;13379;2;2MC00151;CASA_SAN_CARLOS_13379
48;13904;2;2MC00152;CASTELLON_13904
522;74188;2;2MC00153;CELCA_II_74188
413;58482;2;2MC00162;CENTAURO_58482
1370;61049;2;2MC01157;CENTRO_ACUATICO_61049
1371;61050;2;2MC01203;CENTRO_ACUATICO_61050
970;41155;2;2MC00154;CENT_COM_GARONI_41155
1289;57807;2;2MC01089;CENTR_COM_MEDINA_57807
1397;62825;2;2MC01233;CENT_DE_HEMODIALISIS_62825
206;2956;2;2MC00157;CENT_EMPR_MAGNUS_A_02956
207;2957;2;2MC00158;CENT_EMPR_MAGNUS_B_02957
