numeracion;denominacion;precio;tipo;medida;estado
5102004 - 1;CABLE FLEX. UNIPNEGRO;3,00;Orona;X;1
5102020 - 1;CABLE FLEXIBLE VERDE 10M2;8,00;Orona;X;1
5102073 - 1;CABLE MULTIPLE DO. CAPA 20*0.7;16,00;Orona;X;1
5102148 - 1;CONEX. ILUMI.CABLE-PORTALAMPAR;12,00;Orona;X;1
5102220 - 1;CABLE FLEXIBLE INIP GRIS INST;3,00;Orona;X;1
5102230 - 1;CABLE FLEXIBLE MARRON 10M2;4,00;Orona;X;1
5102235 - 1;CABLE CONEXION PULS. PISO ARCA;4,00;Orona;X;1
5102235 - 2;CABLE CONEXION PULSADOR PISO;5,00;Orona;X;1
5102237 - 1;CABLE CONVERSOR PULSADOR LLAVE;9,00;Orona;X;1
5102339 - 1;CABLE CONEXION ENCODER MOTOR G;78,00;Orona;X;1
5102339 - 2;CABLE CONEXION ENCODER MOTOR M;98,00;Orona;X;1
5102343 - 1;CABLE CONEXION PULSADOR L=0.8M;5,00;Orona;X;1
5102345 - 1;CABLE CONEXION LUZ EMERGEN;5,00;Orona;X;1
5102351 - 1;CONEXION UTP CATEGORIA 5 (RJ-4;35,00;Orona;X;1
5102352 - 1;CONEXION UTP CATEGORIA 5 (RJ-4;22,00;Orona;X;1
5102386 - 1;CABLE CONEXION INDICADOR POSIC;9,00;Orona;X;1
5102388 - 1;CABLE CONEXION PL.EXTENS. N=1+1 (ARCA II) OR02;4,00;Orona;X;1
5102461 - 1;CONEXION ENCODER MOTOR ASINCRO;789,00;Orona;X;1
5102510 - 1;CONJ. ENCODER MOTOR CONTROL TE;892,00;Orona;X;1
5102521 - 1;CONECTOR PUENTE ALIM. ALAR-T;7,00;Orona;X;1
5102522 - 1;CONVERSOR DE 2 POLOS PASO DE 5;10,00;Orona;X;1
5102523 - 1;CONVERSOR DE 4 POLOS PASO DE 5;16,00;Orona;X;1
5102524 - 1;CONVERSOR DE 6 POLOS PASO DE 5;23,00;Orona;X;1
5102539 - 1;CABLE HC (FC);47,00;Orona;X;1
5102604 - 1;ADAPTA. CONECT.PASO 2,54 2 POL;17,00;Orona;X;1
5102761 - 1;CABLE CONEX. PULS. PLACA EXT1;15,00;Orona;X;1
5104096 - 1;CONDENSADOR DE VENTLADOR;954,00;Orona;X;1
5105218 - 1;CONECTOR HEMBRA HZ PASO 5,08 2 *5105393 - 5*;2,00;Orona;X;1
5105220 - 1;CONECTOR HEMBRA HZ PASO 5,08 2 *5105393 - 3*;2,00;Orona;X;1
5105225 - 1;CONECTOR HEMBRA HZ PASO 5,08 2 *5105393 - 2*;1,00;Orona;X;1
5105300 - 1;CONECTOR HEMBRA MINI 4 POLOS *5105349 - 4*;2,00;Orona;X;1
5105301 - 1;CONECTOR HEMBRA 7 POLOS 5.08 *5105389 - 7*;3,00;Orona;X;1
5105303 - 1;CONECTOR HEMBRA VERT. 2 POLOS *5105389 - 2*;1,00;Orona;X;1
