numeracion;denominacion;precio;tipo;medida;estado
9040231 - 1;MAQUINA GEARLESG2CO L125;6701,00;Orona;x;1
9040741 - 6;MAQUINA G01 COMP. LP=100 IZDA;6851,00;Orona;x;1
9070002 - 2;TORNILLERIA ARMADURA   GUIAS;143,00;Orona;x;1
9070031 - 1;APOYO VIGA ARMADURA MAQ MRL;205,00;Orona;x;1
9070031 - 2;APOYO VIGA ARMA. MAQUINA MRL;205,00;Orona;x;1
9070038 - 5;TORNILLERIA ARMADURA GUIAS;335,00;Orona;x;1
9070062 - 1;TORNILLERIA DE MOTOR;104,00;Orona;x;1
9070090 - 2;ARMADURA MAQUINA M34 HP300;533,00;Orona;x;1
907014 - 2;KIT PLACA BASE MAQUINA CAMB;664,00;Orona;x;1
9093887 - 1;CONJ.INTERRUPTOR ACUÑAMIENTO M;147,00;Orona;x;1
9093890 - 2;GR. ENGRASADOR M33V3G=16;25,00;Orona;x;1
9100400 - 1;AMARRACABLE CABLE CABINA;15,00;Orona;x;1
9100402 - 1;GRUPO AMARRACABLE;38,00;Orona;x;1
9100442 - 1;GRUPO AMARRACABLE DIAM. 11 L=4;27,00;Orona;x;1
9100445 - 1;GRUPO AMARRACABLE DIAM. 11 L=4;21,00;Orona;x;1
9100773 - 1;GRUPOMFIJACION  DECONTRAP;3,00;Orona;x;1
9103054 - 1;GR. DESLIZ. M34 NRE. M33 T-50;26,00;Orona;x;1
9103054 - 2;GRUPO DESLIZADERA M34 T65;85,00;Orona;x;1
9103054 - 3;GRUPO DESLIZADERA M34 T - 70;14,00;Orona;x;1
9103763 - 4;GR. DESLIZADERA M33 T-90;43,00;Orona;x;1
9110433 - 1;CONJ. ADAPTADOR LIMITADORL-250;65,00;Orona;x;1
9110573 - 1;CONJ. POLEA TEN.SUELO DCHO;659,00;Orona;x;1
9110573 - 2;CONJ. POLEA TEN IZDA;659,00;Orona;x;1
9110574 - 1;CONJ. POLEA -TENSORA DCHA;273,00;Orona;x;1
9110574 - 3;CONJ. POLEA-PLACA POLEA TENS;486,00;Orona;x;1
9111123 - 3;LIMITADOR ORONA L-250 S/DISCO;798,00;Orona;x;1
9111131 - 1;CONJ. FINAL DE CARRERA S-MEMOR;112,00;Orona;x;1
9119012 - 1;LIMITADOR PFB VN:2 (EN SALAM-C;3118,00;Orona;x;1
9141119 - 1;CONJUNTO FALSO TECHO UP53;860,00;Orona;x;1
9141560 - 31;CONJ. SUELO CERAMICO 4 GEN;835,00;Orona;x;1
9141571 - 1;BOLSA TORNILLERIA ESTETICA;62,00;Orona;x;1
9253081 - 1;PUERTA PISOCOMP CENTRAL2H;1913,00;Orona;x;1
9263029 - 1;DESLIZADERAS DE PUERTAS;1,00;Orona;x;1
9263043 - 1;TORNILLERIA PUERTA CABINA;86,00;Orona;x;1
9263058 - 1;KIT REPUESTO 4 RUEDAS MAC;30,00;Orona;x;1
9263191 - 1;CONJ. ARMARIO MANIOB. IZDA III;809,00;Orona;x;1
9301651 - 21;CONJ. BOT.PISO PUB.2PUL4TH;85,00;Orona;x;1
9301651 - 3;CONJ. BOT. PISO PUBLI.2PUL4TH;88,00;Orona;x;1
9301651 - 9;COJ. BOT.PISO PUBLI2 PULS4TH;73,00;Orona;x;1
9301653 - 2;BOTONERA EXTRA PISO PUBLSER;42,00;Orona;x;1
9460678 - 2;CONEXION TERMISTOR MAQ.;36,00;Orona;x;1
9460683 - 3;CONX. ALIMENTACIONMOTOR16;839,00;Orona;x;1
9460703 - 2;CONEXION MANGUERA FRENO;420,00;Orona;x;1
9460717 - 2;CONEXION LIMITADOR VELOCIDADCM;109,00;Orona;x;1
9460760 - 1;KIT  REPARACION  SAIS  PSP500;89,00;Orona;x;1
9472204 - 21;CABLE MULTIPLE 24 HILOS;469,00;Orona;x;1
9472600 - 2;INST.BOTONERA DE PISO 3AIR3=0.;2,00;Orona;x;1
9472601 - 4;INST.BOTONERA DE  PISO 6.5A;38,00;Orona;x;1
9472613 - 4;CONEX. SEÑ. TFT PISO IRA3M;30,00;Orona;x;1
9472614 - 1;CONEX. ADAPT. TFT PISO L=0.12;32,00;Orona;x;1
9472617 - 3;CONEXION IND.POSICION 7SEG;14,00;Orona;x;1
9472618 - 3;CONEXION FLECHAS DE PISO PREMO;11,00;Orona;x;1
9473007 - 1;CONEXION LIM.(V=1M-S);110,00;Orona;x;1
9473007 - 3;CONEXION LIM. CM11=7;85,00;Orona;x;1
9473042 - 4;CONEX. SEÑALES CONTROL REG.;252,00;Orona;x;1
9521013 - 1;CONJ. MOTOR DISP. EN 81TECHO;432,00;Orona;x;1
9999201 - 88;KIT AISLANTE LLEGADA CABLES;469,00;Orona;x;1
MR6020;BOTONERA PISO-SEÑALIZACIONE;423,00;Orona;x;1
MR7100;CABLE DE LIMITADOR;89,00;Orona;x;1
MR9501;ILUMINACION DE RECINTO;314,00;Orona;x;1
1000084 - 2;CORREA CERRADA TRAPEZOIDAL;50,00;Orona;x;1
1000084 - 88;CORREA DENTADA LIMITADOR;17,00;Orona;x;1
1000084 - 89;VOLANO PLASTICO 400 32 PARA F;468,00;Orona;x;1
1466002 - 1;GUIA ASCENSOR ISO T-50;21,00;Orona;x;1
1990869 - 1;CAJA BRIDA  AMARRE BLANCA 4G;1,00;Orona;x;1
250016 - 1;PUERTA RELLANO CENTRAL;2243,00;Orona;x;1
