codigo;denominacion;precio
FJ00001;STEP TJ800SX-LA / PELDAÑO;705,00
FJ00002;STEP T TJ1000SX-LA / PELDAÑO;705,00
FJ00003;STEP STE014-001 / PELDAÑO;705,00
FJ00004;CHAIN WHEEL STE0001-002 / CADENA DE RODILLOS;8,00
FJ00005;MAIN DRICE CHAIN  #100-2-92LINK;323,00
FJ00006;HANDRAIL DRIVE CHAIN JIS#80-2-142;1487,00
FJ00007;HANDRAIL DRIVE FRICTION WHEEL 0383GAA011;199,00
FJ00008;HANDRAIL PINCH ROLLER  0348GAR011;13,00
FJ00009;HANDRAIL PINCH ROLLER  HRG0003-001;13,00
FJ00010;HANDRAIL PINCH ROLLER  0848GAD001;68,00
FJ00011;HANDRAIL GUIDE ROLLER  0348CAK001;96,00
FJ00012;NEWEL HANDRAIL GUIDE ROLLER 5031CCD002;335,00
FJ00013;NEWEL HANDRAIL GUIDE ROLLER 0348CCE001;106,00
FJ00014;NEWEL HANDRAIL GUIDE ROLLER  0348CCE001;101,00
FJ00015;STEP GUIDE ROLLER 0848CAA001;20,00
FJ00016;68#MECHANICAL OIL (4Kg);60,00
FJ00017;2#LUBRICATION OIL (1Kg);13,00
FJ00018;COMB Peineta de aluminio Drch;35,00
FJ00019;COMB Peineta de aluminio Izq;35,00
FJ00020;COMB Peineta de aluminio Central;35,00
FJ00021;COMB SEGMENT aluminium FPB0105-001;13,00
FJ00022;COMB SEGMENT aluminium FPB0101-001;13,00
FJ00023;RUNNING CONTACTOR SC-E1P/GE-C(DC24V);202,00
FJ00024;STAR-OPERATION CONTACTOR SC-E05P/GE-C(DC24V);174,00
FJ00025;DELTA-OPERATION CONTACTOR SC-E05P/GE-C(DC24V);174,00
FJ00026;MAIN CIRCUIT BREAKER  EA33AC/30;86,00
FJ00027;MAIN CIRCUIT BREAKER EA33AC/20;86,00
FJ00028;MAIN CIRCUIT BREAKER;86,00
FJ00029;MAIN POWER SWITCH  LW42B63-1016/LF101;96,00
FJ00030;SAFETY RELAY SH-4/G DC24V 3ALB;108,00
FJ00031;OTHER RELAY1 MY4NJ-DC24;33,00
FJ00032;OTHER RELAY2 MY2NJ-DC24;23,00
FJ00033;OTHER CIRCUIT BREAKER 1 CP31FM/2;66,00
FJ00034;OTHER CIRCUIT BREAKER 2 CP31FM/5;66,00
FJ00035;EMERGENCY STOP BUTTON(COP) YW1B-V4E02R;15,00
FJ00036;RECTIFIER S8JC-10024;106,00
FJ00037;AUTO/MANUAL SWITCH LA42*29-22/BS;23,00
FJ00038;PHASE RELAY (COMMON) MWU(CROUZET);300,00
FJ00039;OVER CURRENT RELAY  TK-N2PHB-C(18-24A);98,00
FJ00040;OVER CURRENT RELAY TK-N2PHX-C(12-18A);98,00
FJ00041;SAFETY STROKE SWITCH(SELF RESE  D4N-2B32;43,00
FJ00016;HY Estrella para cadena 17 dientes;48,00
FJ00017 - XDR05054;HY Rodillo XDR05054;36,00
FPB0104 - 001;Peineta FJ derecha;15,00
FPB0105 - 001;Peineta FJ izquierda;15,00
FPB0101 - 001;Peineta  FJ central;15,00
FJ - XDSC3029BLS;Conjunto accesorios de barra de peldaños HY;11,00
FJ00042;PASAMANOS FUJITEC  L=36.535m;3945,00
FJPLCAFPX;PLC FP-X C60R;600,00
