IV000202;BOTONERA ON-OFF CON FOCO      ;42.00
IV000203;RODAMIENTO BOLAS RIGIDOS (MM) - 6208-2RS1-SKF – 22501       ;36.00
IV000204;LLAVIN DE ARRANQUE PARA ESCALERA THYSSEN;44.00
IV000205;CABLE APANTALLADO DE 4 X 2.50 MM2  (METRO);8.00
IV000206;BASE PARA 11 PINES TIPO DIN CSC-SSS;6.00
IV000207;RUEDA GUIA CON 2 RODAMIENTOS CON GOMA  ;51.00
IV000208;RODAMIENTO. CILINDRICO COMUNES (MM) 75.00X130.00X25.00;311.90
IV000209;FABRICACIÓN EN TEFLÓN PARA RODAMIENTOS;19.39
IV000210;CABLE EPROFLEX1KVA 4*10MM;6.61
IV000211;RODAMIENTO BOLAS RÍGIDAS 50X90X20;65.00
IV000212;RODAMIENTO CILÍNDRICO 75X130X25;227.60
IV000213;RODAMIENTO DE BOLAS RIGIDO DE DOBLE HILERA OKMT3307OR;97.00
IV000214;TRABAJO DE TORNERIA EJE DE MOTOR;48.00
IV000215;CHAVETA TIPO R;2.00
IV000216;CINTA DOBLE CONTACTO 48mmX1mmX5Y;4.00
IV000217;PERNO 8MM                                                                                   ;5.00
IV000218;ARANDELA PRESION 7/8;1.00
IV000219;ARANDELA PLANA                                                                         ;1.00
IV000220;TURCA HEX                                                                                       ;2.00
