CodCoti;Callcenter;Observacion_Evento
7478;31856;Cierre
7467;31791;Cierre
7463;31785;Cierre
7459;31135;Cierre
7458;28923;Cierre
7428;28516;Cierre
7424;31773;Cierre
7422;31757;Cierre
7416;31648;Cierre
7413;31738;Cierre
7403;31686;Cierre
7395;31732;Cierre
7394;31649;Cierre
7390;31650;Cierre
7371;31375;Cierre
7366;31390;Cierre
7365;31543;Cierre
7364;31605;Cierre
7358;31608;Cierre
7347;31589;Cierre
7344;31512;Cierre
7330;31475;Cierre
7329;31511;Cierre
7321;31514;Cierre
7319;31303;Cierre
7318;31502;Cierre
7305;31377;Cierre
7304;31487;Cierre
7302;31429;Cierre
7300;;Cierre
7298;31322;Cierre
7295;31374;Cierre
7291;31369;Cierre
7286;31355;Cierre
7281;31016;Cierre
7266;31325;Cierre
7248;31311;Cierre
7247;31323;Cierre
7235;31107;Cierre
7233;31118;Cierre
7231;31096;Cierre
7230;31095;Cierre
7224;31135;Cierre
7223;31101;Cierre
7222;31138;Cierre
7218;31131;Cierre
7198;30961;Cierre
7197;30918;Cierre
7192;30986;Cierre
7191;31025;Cierre
7190;30955;Cierre
7188;31043;Cierre
7186;31083;Cierre
7184;31082;Cierre
7182;31080;Cierre
7178;31041;Cierre
7177;31046;Cierre
7173;30996;Cierre
7129;30874;Cierre
7128;30875;Cierre
7127;30876;Cierre
7122;30899;Cierre
7111;30810;Cierre
7110;30809;Cierre
7108;30856;Cierre
7107;30831;Cierre
7106;30830;Cierre
7104;30857;Cierre
7097;30829;Cierre
7095;30828;Cierre
7093;30824;Cierre
7089;30785;Cierre
7082;30780;Cierre
7076;30479;Cierre
7074;30632;Cierre
7061;30737;Cierre
7055;30701;Cierre
7031;30593;Cierre
7030;30616;Cierre
7029;30617;Cierre
7026;30615;Cierre
7021;30599;Cierre
7019;30590;Cierre
7002;30539;Cierre
7001;30545;Cierre
7000;30546;Cierre
6994;30488;Cierre
6993;30451;Cierre
6992;30462;Cierre
6989;30446;Cierre
6988;30443;Cierre
6986;30416;Cierre
6984;30418;Cierre
6982;30390;Cierre
6981;30520;Cierre
6979;30538;Cierre
6942;30441;Cierre
6934;30358;Cierre
6933;30341;Cierre
6932;30344;Cierre
6931;30336;Cierre
6930;30337;Cierre
6928;30338;Cierre
6926;30347;Cierre
6906;30333;Cierre
6904;30313;Cierre
6899;30309;Cierre
6896;30292;Cierre
6894;30249;Cierre
6891;30229;Cierre
6880;30305;Cierre
6876;30298;Cierre
6873;30207;Cierre
6872;30264;Cierre
6871;30281;Cierre
6868;30283;Cierre
6861;30260;Cierre
6853;30174;Cierre
6848;30186;Cierre
6838;30203;Cierre
6836;30202;Cierre
6829;30081;Cierre
6828;30080;Cierre
6822;30132;Cierre
6820;30130;Cierre
6819;30129;Cierre
6818;30142;Cierre
6816;30144;Cierre
6815;30153;Cierre
6810;30141;Cierre
6800;30103;Cierre
6799;30076;Cierre
6797;30112;Cierre
6795;30093;Cierre
6792;30097;Cierre
6784;30041;Cierre
6779;30018;Cierre
6778;30017;Cierre
6777;30011;Cierre
6776;29139;Cierre
6775;29607;Cierre
6772;30010;Cierre
6768;30044;Cierre
6756;29998;Cierre
6750;30009;Cierre
6746;29430;Cierre
6744;29996;Cierre
6733;29616;Cierre
6728;29618;Cierre
6727;29619;Cierre
6726;29620;Cierre
6717;29621;Cierre
6715;29409;Cierre
6713;29328;Cierre
6712;29399;Cierre
6710;29413;Cierre
6704;29408;Cierre
6701;29456;Cierre
6700;29455;Cierre
6698;29864;Cierre
6693;29884;Cierre
6691;29889;Cierre
6690;29890;Cierre
6688;29926;Cierre
6687;29935;Cierre
6678;29376;Cierre
6677;29375;Cierre
6676;29374;Cierre
6675;29372;Cierre
6673;29930;Cierre
6665;29883;Cierre
6651;29467;Cierre
6650;29472;Cierre
6649;29504;Cierre
6648;29501;Cierre
6643;29686;Cierre
6642;29684;Cierre
6641;29652;Cierre
6640;29694;Cierre
6639;29695;Cierre
6638;29706;Cierre
6637;29702;Cierre
6636;29709;Cierre
6635;29701;Cierre
6634;29814;Cierre
6627;29836;Cierre
6621;;Cierre
6619;29700;Cierre
6616;29688;Cierre
6615;29666;Cierre
6613;29528;Cierre
6612;29852;Cierre
6610;29857;Cierre
6586;29806;Cierre
6583;29832;Cierre
6581;29831;Cierre
6576;29815;Cierre
6573;29804;Cierre
6572;29805;Cierre
6555;29685;Cierre
6550;29417;Cierre
6549;29657;Cierre
6545;29513;Cierre
6543;29514;Cierre
6542;29523;Cierre
6540;29565;Cierre
6539;29583;Cierre
6538;29604;Cierre
6537;29602;Cierre
6536;29600;Cierre
6535;29599;Cierre
6534;29615;Cierre
6532;29608;Cierre
6531;29609;Cierre
6523;29606;Cierre
6521;29579;Cierre
6513;29562;Cierre
6510;29531;Cierre
6498;29156;Cierre
6489;29384;Cierre
6488;29385;Cierre
6487;29386;Cierre
6486;29383;Cierre
6485;29382;Cierre
6464;29398;Cierre
6461;29402;Cierre
6448;29141;Cierre
6447;29271;Cierre
6446;29276;Cierre
6439;29286;Cierre
6438;29308;Cierre
6437;29294;Cierre
6436;29293;Cierre
6435;29269;Cierre
6430;29307;Cierre
6429;29306;Cierre
6428;29315;Cierre
6427;29323;Cierre
6426;29356;Cierre
6423;29325;Cierre
6421;29327;Cierre
6420;29359;Cierre
6419;29277;Cierre
6416;29158;Cierre
6415;29111;Cierre
6413;29322;Cierre
6412;29302;Cierre
6409;29352;Cierre
6395;29298;Cierre
6383;29270;Cierre
6380;29275;Cierre
6378;29262;Cierre
6377;29260;Cierre
6372;29157;Cierre
6370;29124;Cierre
6369;29205;Cierre
6368;29207;Cierre
6367;29211;Cierre
6364;29234;Cierre
6363;29241;Cierre
6362;29242;Cierre
6357;29225;Cierre
6353;29213;Cierre
6351;29150;Cierre
6345;29186;Cierre
6344;29169;Cierre
6343;29183;Cierre
6339;29167;Cierre
6338;29168;Cierre
6335;29143;Cierre
6329;29153;Cierre
6328;29112;Cierre
6322;29129;Cierre
6320;29128;Cierre
6317;29126;Cierre
6313;29110;Cierre
6310;29054;Cierre
6308;29093;Cierre
6307;29091;Cierre
6306;29075;Cierre
6305;29066;Cierre
6301;29077;Cierre
6300;29024;Cierre
6299;29056;Cierre
6298;29062;Cierre
6296;29025;Cierre
6295;29028;Cierre
6292;29027;Cierre
6291;29052;Cierre
6289;29049;Cierre
6288;29048;Cierre
6286;29029;Cierre
6285;29030;Cierre
6278;29004;Cierre
