Guard;Station;ArriveTime;ArriveDate;Incident
10;386;Missing;2018-03-08;
;382;Missing;2018-03-08;
;722;Missing;2018-03-08;
;725;Missing;2018-03-08;
;756;Missing;2018-03-08;
;757;Missing;2018-03-08;
;758;Missing;2018-03-08;
;787;06:43:01;2018-03-08;
;705;Missing;2018-03-08;
;762;Missing;2018-03-08;
;763;Missing;2018-03-08;
;734;Missing;2018-03-08;
;CSBP A;Missing;2018-03-08;
;803;Missing;2018-03-08;
;786;Missing;2018-03-08;
;845;Missing;2018-03-08;
;5;Missing;2018-03-08;
;Hotel Las Americas B;Missing;2018-03-08;
;718;Missing;2018-03-08;
;727;Missing;2018-03-08;
;759;Missing;2018-03-08;
;652;Missing;2018-03-08;
;738;06:43:04;2018-03-08;
;prueba;Missing;2018-03-08;
;844;06:42:57;2018-03-08;
;844;06:43:12;2018-03-08;
;753;Missing;2018-03-08;
;782;Missing;2018-03-08;
;783;Missing;2018-03-08;
;781;Missing;2018-03-08;
;796;Missing;2018-03-08;
10;386;Missing;2018-03-08;
;382;Missing;2018-03-08;
;722;Missing;2018-03-08;
;725;Missing;2018-03-08;
;756;Missing;2018-03-08;
;757;Missing;2018-03-08;
;758;Missing;2018-03-08;
;787;Missing;2018-03-08;
;705;Missing;2018-03-08;
;762;Missing;2018-03-08;
;763;Missing;2018-03-08;
;734;Missing;2018-03-08;
;CSBP A;Missing;2018-03-08;
;803;Missing;2018-03-08;
;786;Missing;2018-03-08;
;845;Missing;2018-03-08;
;5;Missing;2018-03-08;
;Hotel Las Americas B;Missing;2018-03-08;
;718;Missing;2018-03-08;
;727;Missing;2018-03-08;
;759;Missing;2018-03-08;
;652;Missing;2018-03-08;
;738;Missing;2018-03-08;
;prueba;Missing;2018-03-08;
;844;06:48:41;2018-03-08;
;753;Missing;2018-03-08;
;782;Missing;2018-03-08;
;783;Missing;2018-03-08;
;781;Missing;2018-03-08;
;796;Missing;2018-03-08;
10;386;Missing;2018-03-08;
;382;Missing;2018-03-08;
;722;Missing;2018-03-08;
;725;Missing;2018-03-08;
;756;Missing;2018-03-08;
;757;Missing;2018-03-08;
;758;Missing;2018-03-08;
;787;06:48:53;2018-03-08;
