Guard;Station;ArriveTime;ArriveDate;Incident
10;432;Missing;2017-01-06;Mantenimiento Preventivo
10;511;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-06;Instrucción de Trabajo
10;513;Missing;2017-01-06;Inspeccion
10;265;Missing;2017-01-06;Otros
10;266;Missing;2017-01-06;Mantenimiento Preventivo
10;267;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-06;Instrucción de Trabajo
10;109;Missing;2017-01-06;Inspeccion
10;110;Missing;2017-01-06;Otros
10;111;Missing;2017-01-06;Mantenimiento Preventivo
10;409;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-06;Instrucción de Trabajo
10;411;Missing;2017-01-06;Inspeccion
10;515;Missing;2017-01-06;Otros
10;530;Missing;2017-01-06;Mantenimiento Preventivo
10;503;18:34:36;2017-01-06;Mantenimiento Correctivo/Emergencia
10;504;18:34:39;2017-01-06;Instrucción de Trabajo
10;218;18:34:42;2017-01-06;Inspeccion
10;259;18:34:45;2017-01-06;Otros
10;260;18:34:48;2017-01-06;Mantenimiento Preventivo
10;461;18:34:51;2017-01-06;Mantenimiento Correctivo/Emergencia
10;323;18:34:55;2017-01-06;Instrucción de Trabajo
10;51;Missing;2017-01-06;Inspeccion
10;52;Missing;2017-01-06;Otros
10;53;Missing;2017-01-06;Mantenimiento Preventivo
10;544;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;545;Missing;2017-01-06;Instrucción de Trabajo
10;546;Missing;2017-01-06;Inspeccion
10;131;Missing;2017-01-06;Otros
10;43;Missing;2017-01-06;Mantenimiento Preventivo
10;464;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;212;Missing;2017-01-06;Instrucción de Trabajo
10;402;Missing;2017-01-06;Inspeccion
10;536;Missing;2017-01-06;Otros
10;381;Missing;2017-01-06;Mantenimiento Preventivo
10;257;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;66;Missing;2017-01-06;Instrucción de Trabajo
10;283;Missing;2017-01-06;Inspeccion
10;1;Missing;2017-01-06;Otros
10;276;Missing;2017-01-06;Mantenimiento Preventivo
10;277;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;278;Missing;2017-01-06;Instrucción de Trabajo
10;279;Missing;2017-01-06;Inspeccion
10;282;Missing;2017-01-06;Otros
10;324;Missing;2017-01-06;Mantenimiento Preventivo
10;325;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;424;Missing;2017-01-06;Instrucción de Trabajo
10;425;Missing;2017-01-06;Inspeccion
10;161;Missing;2017-01-06;Otros
10;230;Missing;2017-01-06;Mantenimiento Preventivo
10;455;18:37:38;2017-01-06;Mantenimiento Correctivo/Emergencia
10;241;18:37:42;2017-01-06;Instrucción de Trabajo
10;433;18:37:47;2017-01-06;Inspeccion
10;532;18:37:49;2017-01-06;Otros
10;590;18:37:52;2017-01-06;Mantenimiento Preventivo
10;591;18:37:55;2017-01-06;Mantenimiento Correctivo/Emergencia
10;273;18:37:57;2017-01-06;Instrucción de Trabajo
10;117;Missing;2017-01-06;Inspeccion
10;119;Missing;2017-01-06;Otros
10;573;Missing;2017-01-06;Mantenimiento Preventivo
10;574;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;31;Missing;2017-01-06;Instrucción de Trabajo
10;101;Missing;2017-01-06;Inspeccion
10;102;Missing;2017-01-06;Otros
10;432;Missing;2017-01-06;Mantenimiento Preventivo
10;511;Missing;2017-01-06;Mantenimiento Correctivo/Emergencia
10;512;Missing;2017-01-06;Instrucción de Trabajo
10;513;Missing;2017-01-06;Inspeccion
10;265;Missing;2017-01-06;Otros
10;266;Missing;2017-01-09;Mantenimiento Preventivo
10;267;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;408;Missing;2017-01-09;Instrucción de Trabajo
10;109;Missing;2017-01-09;Inspeccion
10;110;Missing;2017-01-09;Otros
10;111;Missing;2017-01-09;Mantenimiento Preventivo
10;409;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;410;Missing;2017-01-09;Instrucción de Trabajo
10;411;Missing;2017-01-09;Inspeccion
10;515;Missing;2017-01-09;Otros
10;530;Missing;2017-01-09;Mantenimiento Preventivo
10;503;Missing;2017-01-09;Mantenimiento Correctivo/Emergencia
10;504;Missing;2017-01-09;Instrucción de Trabajo
10;218;Missing;2017-01-09;Inspeccion
10;259;Missing;2017-01-09;Otros
10;260;Missing;2017-01-09;Mantenimiento Preventivo
10;461;17:50:07;2017-01-09;Mantenimiento Correctivo/Emergencia
10;323;17:50:10;2017-01-09;Instrucción de Trabajo
10;51;17:50:13;2017-01-09;Inspeccion
10;52;17:50:16;2017-01-09;Otros
