CLICODIGO;CLIMONEDA
1M;0
1M1ABQ01;2
1M1ABQ02;2
1M1HIP01;2
1M1HIP02;2
1M1AMM;2
1M10ZW01;2
1M1LDS;2
1M1A1113;2
1M1FXQ;2
1M1ADP01;2
1M1ADP02;2
1M1AEQ01;2
1M1FSQ01;2
1M1KLR01;2
1M1MMR01;2
1M1AGP01;2
1M1NO;2
1M1A1098;2
1M1A1141;2
1M111412;2
1M1ALN01;2
1M1ALN02;2
1M1AMN01;2
1M1AMN02;2
1M1GLQ01;2
1M1NIQ;2
1M1BCS01;2
1M1JFQ01;2
1M1EIU01;2
1M1FMQ01;2
1M1HWQ01;2
1M1HWQ02;2
1M1ISQ01;2
1M1A1117;2
1M1KNU01;2
M1MKNU02;2
1M1XYZ01;2
1M1LBU01;2
1M1AOQ01;2
1M1AOQ02;2
1M1PMS01;2
1M1NMQ01;2
1M1A1100;2
1M1AQM01;2
1M1AQM02;2
1M1A1074;2
1M110742;2
1M1PWU01;2
1M1HSW01;2
1M1ARU01;2
1M1ARU02;2
1M1ASQ01;2
1M1ATQ01;2
1M1ATQ02;2
1M1GKQ01;2
1M1GKQ02;2
1M4BC01;2
1M1A1051;2
1M1BGT01;2
1M1A1073;2
1M110732;2
1M1OVO01;2
1M1DRU01;2
1M1DRU02;2
1M1DRU03;2
1M1AUM01;2
1M1AUM02;2
1M1PPS01;2
1M1IJQ01;2
1M1JJO01;2
1M1AVT01;2
1M1AWQ01;2
1M1ILU01;2
1M1ILU02;2
1M1ILU03;2
1M1HNQ01;2
1M1GIQ01;2
1M1JCO01;2
1M1VCU01;2
1M1VCU02;2
1M1MQQ01;2
1M1MQQ02;2
1M1CDW01;2
1M1HYQ03;2
1M1HYQ04;2
1M1HDQ01;2
1M1FIV01;2
1M1FQQ01;2
1M1A1004;2
1M1AXU01;2
1M1AXU02;2
1M1ICS01;2
1M1OPP01;2
1M1OMM01;2
1M1HRU01;2
1M1A1525;2
1M1A1022;2
1M1AYM01;2
1M1A1041;2
1M1FFW01;2
1M1KBV01;2
1M1KOW01;2
1M1NZV01;2
1M1HQQ01;2
1M1HQQ02;2
1M1ITQ02;2
1M1ITQ01;2
1M1ITQ03;2
1M1ITQ04;2
1M1ITQ05;2
1M1A1018;2
1M1LQM01;2
1M1LJM;2
1M1KIU01;2
1M1GOQ01;2
1M1A1077;2
1M1AZN01;2
1M1AZN02;2
1M1A1023;2
1M1JEM01;2
1M1AAT01;2
1M1BAM01;2
1M1GFN02;2
1M1GFN01;2
1M1A2006;2
1M1JAQ01;2
1M1BBQ01;2
1M1BBQ02;2
1M2A1029;2
1M1A1029;2
1M1PTP01;2
1M1BDP01;2
1M1BFQ01;2
1M1FKM01;2
1M1NLQ01;2
1M3NLQ02;2
1M1A1093;2
1M1A1045;2
1M1KYQ01;2
1M1KYQ02;2
1M1A1088;2
1M1HMQ01;2
1M1HMQ02;2
1M1AFU01;2
1M1AFU02;2
1M1AFU03;2
1M1AFU04;2
1M1BHQ01;2
1M1BIU01;2
1M1BIU02;2
1M1NUV01;2
1M1NUV02;2
1M1A1067;2
1M1FEW01;2
1M1KKM01;2
1M1CAM01;2
1M1A1059;2
1M1OBS01;2
1M1CRQ01;2
1M1NVQ01;2
1M1MIS01;2
1M1IES01;2
1M1A1063;2
1M1JSQ;2
1M1HRS01;2
1M1HRS02;2
1M1HRS03;2
1M1HFM01;2
1M1PHQ01;2
1M1MRV01;2
1M1BKR01;2
1M1IUU01;2
1M1GYM01;2
1M1GYM02;2
1M1LAU01;2
1M1MRW01;2
1M1MRW02;2
1M1FOQ09;2
1M1HNP01;2
1M1A1132;2
1M1PNV01;2
1M1BQQ01;2
1M1PDO01;2
1M1A1060;2
1M1JBS01;2
1M1PVS01;2
1M1BRN01;2
1M1BRN02;2
