CLICODIGO;CLIMONEDA
2M;0
2M000001;2
2M000002;2
2M000003;2
2M000004;2
2M000005;2
2M000006;2
2M000007;2
2M000008;2
2M000009;2
2M000010;2
2M000011;2
2M000012;2
2M000013;2
2M000014;2
2M000015;2
2M000016;2
2M000017;2
2M000018;2
2M000019;2
2M000020;2
2M000021;2
2M000022;2
2M000023;2
2M000024;2
2M000025;2
2M000026;2
2M000027;2
2M000028;2
2M000029;2
2M000030;2
2M000031;2
2M000032;2
2M000033;2
2M000034;2
2M000035;2
2M000036;2
2M000037;2
2M000038;2
2M000039;2
2M000040;2
2M000041;2
2M000042;2
2M000043;2
2M000044;2
2M000045;2
2M000046;2
2M000047;2
2M000048;2
2M000049;2
2M000050;2
2M000051;2
2M000052;2
2M000053;2
2M000054;2
2M000055;2
2M000056;2
2M000057;2
2M000058;2
2M000059;2
2M000060;2
2M000061;2
2M000062;2
2M000063;2
2M000064;2
2M000065;2
2M000066;2
2M000067;2
2M000068;2
2M000069;2
2M000070;2
2M000071;2
2M000072;2
2M000073;2
2M000074;2
2M000075;2
2M000076;2
2M000077;2
2M000078;2
2M000079;2
2M000080;2
2M000081;2
2M000082;2
2M000083;2
2M000084;2
2M000085;2
2M000086;2
2M000087;2
2M000088;2
2M000089;2
2M000090;2
2M000091;2
2M000092;2
2M000093;2
2M000094;2
2M000095;2
2M000096;2
2M000097;2
2M000098;2
2M000099;2
2M000100;2
2M000101;2
2M000102;2
2M000103;2
2M000104;2
2M000105;2
2M000106;2
2M000107;2
2M000108;2
2M000109;2
2M000110;2
2M000111;2
2M000112;2
2M000113;2
2M000114;2
2M000115;2
2M000116;2
2M000117;2
2M000118;2
2M000119;2
2M000120;2
2M000121;2
2M000122;2
2M000123;2
2M000124;2
2M000125;2
2M000126;2
2M000127;2
2M000128;2
2M000129;2
2M000130;2
2M000131;2
2M000132;2
2M000133;2
2M000134;2
2M000135;2
2M000136;2
2M000137;2
2M000138;2
2M000139;2
2M000140;2
2M000141;2
2M000142;2
2M000143;2
2M000144;2
2M000145;2
2M000146;2
2M000147;2
2M000148;2
2M000149;2
2M000150;2
2M000151;2
2M000152;2
2M000153;2
2M000154;2
2M000155;2
2M000156;2
2M000157;2
2M000564;2
2M000565;2
2M000566;2
2M000567;2
2M000568;2
2M000569;2
2M000570;2
2M000571;2
2M000572;2
2M000573;2
2M000574;2
2M000575;2
2M000576;2
2M000577;2
2M000578;2
2M000579;2
2M000580;2
2M000581;2
2M000582;2
2M000583;2
2M000584;2
2M000585;2
2M000586;2
2M000588;2
2M000589;2
2M000590;2
2M000591;2
2M000592;2
2M000593;2
2M000594;2
2M000595;2
2M000596;2
2M000597;2
2M000598;2
2M000599;2
2M000600;2
2M000601;2
2M000602;2
2M000603;2
2M000604;2
2M000605;2
2M000606;2
2M000607;2
2M000608;2
2M000609;2
2M000610;2
2M000611;2
2M000612;2
2M000613;2
2M000614;2
2M000615;2
2M000616;2
2M000617;2
2M000618;2
2M000619;2
2M000620;2
2M000621;2
2M000622;2
2M000623;2
2M000624;2
2M000625;2
