codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
1150;68300;3MS00961;2
628;DHT-140132T;3MS00017;2
629;DHT-130550T;3MS00016;2
630;MH-14339;3MS00023;2
1;359;3MS00242;2
1141;67919;3MS00959;2
1142;67920;3MS00960;2
654;3553;3MS00064;2
587;MH 12418;3MS00135;1
588;MH 12419;3MS00136;1
589;MH 12420;3MS00137;1
1145;THYSSENKRUPP 1;3MS00071;1
1146;THYSSENKRUPP 2;3MS00072;1
1148;WITTUR 1;3MS00073;1
1149;WITTUR 2;3MS00074;1
2;532;3MS00140;2
294;657670;3MS00174;2
233;490;3MS00176;2
234;491;3MS00177;2
265;6151;3MS00190;2
266;6152;3MS00191;2
267;6153;3MS00192;2
408;8008;3MS00193;2
409;8014;3MS00197;2
410;8015;3MS00198;2
411;8016;3MS00199;2
544;9811;3MS00227;2
545;9812;3MS00228;2
546;9813;3MS00229;2
1154;68670;3MS00962;2
1171;70199;3MS00950;2
1172;70198;3MS00951;2
308;6861;3MS00419;1
230;4666;3MS00265;2
118;2250;3MS00270;2
1216;73212;3MS00952;2
801;42954;3MS00947;2
1175;70256;3MS00933;2
1176;70255;3MS00932;2
175;3590;3MS00326;2
176;3591;3MS00327;2
177;3592;3MS00328;2
977;56223;3MS00943;2
207;3922;3MS00343;2
1059;63778;3MS00944;2
208;3951;3MS00393;2
209;3952;3MS00394;2
552;BOL12070550-17#1;3MS00406;2
553;BOL12070550-17#2;3MS00407;2
649;4664;3MS00813;2
231;4667;3MS00427;2
232;4668;3MS00428;2
1164;70077;3MS00964;2
1166;70078;3MS00965;2
251;5330;3MS00453;2
338;729;3MS00457;2
1050;61693;3MS00957;2
1051;61694;3MS00958;2
172;356;3MS00494;2
173;357;3MS00495;2
1246;74410;3MS00954;2
210;3983;3MS00522;2
211;3984;3MS00523;2
429;838;3MS00527;2
430;839;3MS00528;2
1163;69484;3MS00963;2
169;355;3MS00579;2
896;BOL12070550-17#3;3MS00606;2
897;BOL12070550-17#4;3MS00607;2
898;BOL12070550-17#5;3MS00608;2
899;BOL12070550-17#6;3MS00609;2
1185;71352;3MS00945;2
1132;67840;3MS00955;2
1133;67839;3MS00956;2
1137;67844;3MS00935;2
1138;67845;3MS00936;2
992;58528;3MS00941;2
1107;66505;3MS00926;2
1108;66504;3MS00925;2
566;DHT120061TQS2;3MS00767;2
567;DHT120061TQS3;3MS00768;2
