codigo;NUEVO CODIGO SIMEC
202;3MS00002
460;3MS00003
1052;3MS00892
219;3MS00004
323;3MS00220
62;3MS00647
140;3MS00005
336;3MS00006
337;3MS00007
631;3MS00008
258;3MS00009
1150;3MS00961
678;3MS00010
322;3MS00011
739;3MS00012
653;3MS00013
402;3MS00014
472;3MS00015
628;3MS00017
629;3MS00016
1047;3MS00849
1048;3MS00850
90;3MS00018
91;3MS00019
706;3MS00020
908;3MS00842
909;3MS00843
910;3MS00021
912;3MS00844
1014;3MS00886
1015;3MS00885
188;3MS00022
630;3MS00023
40;3MS00024
874;3MS00025
951;3MS00877
78;3MS00026
79;3MS00027
450;3MS00028
451;3MS00029
204;3MS00031
1;3MS00242
473;3MS00034
474;3MS00035
475;3MS00036
869;3MS00915
870;3MS00039
871;3MS00040
872;3MS00041
50;3MS00042
481;3MS00043
482;3MS00044
128;3MS00544
748;3MS00547
568;3MS00545
569;3MS00546
154;3MS00045
134;3MS00046
417;3MS00047
418;3MS00048
419;3MS00049
723;3MS00050
1109;3MS00852
71;3MS00422
98;3MS00051
1041;3MS00889
178;3MS00052
738;3MS00053
255;3MS00054
25;3MS00055
19;3MS00056
27;3MS00057
808;3MS00060
777;3MS00061
1093;3MS00857
1094;3MS00858
797;3MS00062
953;3MS00063
1141;3MS00959
1142;3MS00960
654;3MS00064
826;3MS00134
824;3MS00138
390;3MS00127
391;3MS00128
392;3MS00129
393;3MS00130
394;3MS00131
395;3MS00132
396;3MS00133
587;3MS00135
588;3MS00136
589;3MS00137
1016;3MS00883
270;3MS00122
311;3MS00067
721;3MS00066
1147;3MS00070
44;3MS00068
45;3MS00069
1145;3MS00071
1146;3MS00072
1148;3MS00073
1149;3MS00074
238;3MS00075
457;3MS00076
458;3MS00077
58;3MS00078
59;3MS00079
60;3MS00080
61;3MS00081
727;3MS00082
964;3MS00083
212;3MS00084
809;3MS00085
904;3MS00086
905;3MS00087
250;3MS00089
502;3MS00090
180;3MS00091
54;3MS00093
55;3MS00094
1060;3MS00914
662;3MS00095
1022;3MS00096
3;3MS00142
4;3MS00143
575;3MS00144
576;3MS00145
523;3MS00666
522;3MS00146
596;3MS00147
28;3MS00148
29;3MS00149
579;3MS00150
334;3MS00097
335;3MS00098
846;3MS00100
787;3MS00102
245;3MS00731
246;3MS00732
244;3MS00730
135;3MS00103
136;3MS00104
344;3MS00105
345;3MS00106
594;3MS00107
595;3MS00108
1035;3MS00002
1036;3MS00001
1037;3MS00003
1038;3MS00004
1039;3MS00005
1040;3MS00006
261;3MS00109
1053;3MS00891
26;3MS00124
807;3MS00112
174;3MS00113
937;3MS00114
650;3MS00115
120;3MS00065
681;3MS00116
76;3MS00234
16;3MS00118
17;3MS00119
155;3MS00836
156;3MS00837
89;3MS00121
88;3MS00120
456;3MS00123
124;3MS00125
125;3MS00126
452;3MS00139
2;3MS00140
844;3MS00577
990;3MS00141
813;3MS00092
952;3MS00811
960;3MS00152
961;3MS00151
141;3MS00153
303;3MS00154
426;3MS00155
105;3MS00156
106;3MS00157
1077;3MS00833
1078;3MS00893
477;3MS00158
665;3MS00037
330;3MS00159
331;3MS00160
674;3MS00447
284;3MS00161
285;3MS00162
972;3MS00860
973;3MS00861
288;3MS00163
299;3MS00165
300;3MS00166
301;3MS00167
540;3MS00402
541;3MS00403
112;3MS00169
943;3MS00168
369;3MS00170
370;3MS00171
371;3MS00172
372;3MS00173
447;3MS00175
294;3MS00174
233;3MS00176
234;3MS00177
296;3MS00180
974;3MS00181
340;3MS00182
422;3MS00032
423;3MS00033
14;3MS00183
15;3MS00184
431;3MS00188
432;3MS00189
511;3MS00185
512;3MS00186
513;3MS00187
265;3MS00190
266;3MS00191
267;3MS00192
408;3MS00193
109;3MS00194
110;3MS00195
111;3MS00196
409;3MS00197
410;3MS00198
411;3MS00199
849;3MS00200
850;3MS00201
851;3MS00202
880;3MS00203
515;3MS00205
530;3MS00206
242;3MS00518
774;3MS00207
775;3MS00208
796;3MS00209
503;3MS00210
504;3MS00211
1061;3MS00880
1062;3MS00881
957;3MS00212
218;3MS00213
1181;3MS00918
461;3MS00218
440;3MS00221
441;3MS00222
442;3MS00223
51;3MS00224
52;3MS00225
53;3MS00226
544;3MS00227
545;3MS00228
546;3MS00229
131;3MS00230
43;3MS00231
464;3MS00232
821;3MS00233
1154;3MS00962
734;3MS00489
603;3MS00657
604;3MS00658
536;3MS00237
381;3MS00238
257;3MS00239
66;3MS00240
283;3MS00241
276;3MS00243
277;3MS00244
278;3MS00245
279;3MS00246
282;3MS00247
324;3MS00248
325;3MS00249
126;3MS00101
424;3MS00250
425;3MS00251
30;3MS00252
1171;3MS00950
1172;3MS00951
996;3MS00855
443;3MS00253
444;3MS00254
445;3MS00255
446;3MS00256
832;3MS00257
833;3MS00258
161;3MS00259
770;3MS00266
771;3MS00267
364;3MS00262
455;3MS00261
433;3MS00260
308;3MS00419
363;3MS00263
533;3MS00269
656;3MS00320
230;3MS00265
241;3MS00264
1183;3MS00840
1184;3MS00841
362;3MS00268
118;3MS00270
486;3MS00441
1001;3MS00819
1216;3MS00952
1250;3MS00887
532;3MS00272
590;3MS00273
591;3MS00274
273;3MS00275
803;3MS00276
117;3MS00277
119;3MS00278
573;3MS00279
574;3MS00280
47;3MS00099
31;3MS00281
752;3MS00282
101;3MS00283
102;3MS00284
801;3MS00947
316;3MS00285
317;3MS00286
1175;3MS00933
1176;3MS00932
157;3MS00287
732;3MS00289
269;3MS00290
137;3MS00117
262;3MS00291
1117;3MS00882
861;3MS00292
843;3MS00293
944;3MS00884
1091;3MS00906
810;3MS00296
915;3MS00297
367;3MS00294
368;3MS00295
685;3MS00204
170;3MS00298
643;3MS00299
644;3MS00300
645;3MS00301
646;3MS00302
647;3MS00303
648;3MS00304
945;3MS00862
946;3MS00863
615;3MS00305
72;3MS00306
361;3MS00307
524;3MS00308
525;3MS00309
1071;3MS00848
852;3MS00313
508;3MS00001
683;3MS00314
651;3MS00315
67;3MS00316
142;3MS00317
698;3MS00319
744;3MS00318
906;3MS00648
830;3MS00322
831;3MS00321
171;3MS00543
56;3MS00323
57;3MS00324
175;3MS00326
176;3MS00327
627;3MS00329
177;3MS00328
858;3MS00330
616;3MS00331
879;3MS00325
659;3MS00334
657;3MS00333
658;3MS00332
5;3MS00335
887;3MS00336
427;3MS00339
788;3MS00337
789;3MS00338
467;3MS00340
468;3MS00341
977;3MS00943
286;3MS00342
207;3MS00343
725;3MS00344
220;3MS00345
352;3MS00346
