codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
1110;61814;1ML00890;2
256;41330;1ML00121;2
402;76630;1ML00001;2
403;76631;1ML00002;2
267;41911;1ML00003;2
268;41912;1ML00004;2
398;76293;1ML00005;2
1190;65840;1ML00800;2
58;14761;1ML00007;2
921;50166;1ML00008;2
1037;57399;1ML00791;2
1044;57400;1ML00792;2
801;1105408;1ML00562;2
663;34078;1ML00009;2
1203;66927;1ML00778;2
476;88614;1ML00010;2
477;88615;1ML00011;2
1040;57368;1ML00812;2
1195;66084;1ML00879;2
295;52201;1ML00012;2
510;93203;1ML00013;2
56;14517;1ML00014;2
149;22673;1ML00015;2
870;47181;1ML00820;2
871;47182;1ML00821;2
872;47183;1ML00822;2
873;47184;1ML00823;2
115;19584;1ML00225;2
230;35704;1ML00016;2
1134;58019;1ML00741;2
356;6865;1ML00017;2
1077;59442;1ML00678;2
885;47999;1ML00018;2
1060;58529;1ML00689;2
855;46058;1ML00536;2
535;9503;1ML00028;2
975;54152;1ML00020;2
976;54151;1ML00019;2
366;70017;1ML00021;2
367;70032;1ML00022;2
471;87711;1ML00023;2
472;87712;1ML00024;2
145;222;1ML00025;2
335;62146;1ML00027;2
293;51600;1ML00029;2
497;91633;1ML00030;2
286;4825;1ML00031;2
287;4826;1ML00032;2
375;7218;1ML00033;2
1020;52300;1ML00753;2
92;17771;1ML00655;2
851;45503;1ML00702;2
924;51003;1ML00034;2
943;EH-27691;1ML00767;2
1142;63408;1ML00779;2
1010;55679;1ML00701;2
85;16794;1ML00789;2
557;EH-24936;1ML00790;2
43;14095;1ML00035;2
44;14096;1ML00036;2
720;38908;1ML00037;2
971;52721;1ML00756;2
86;16842;1ML00038;2
1284;75165;1ML00870;2
983;53542;1ML00718;2
700;36997;1ML00057;2
895;48733;1ML00670;2
360;69133;1ML00039;2
364;69138;1ML00040;2
635;30572;1ML00041;2
989;34749;1ML00042;2
857;45732;1ML00752;2
889;48204;1ML00043;2
352;65875;1ML00044;2
353;65876;1ML00045;2
829;44925;1ML00046;2
830;44926;1ML00047;2
661;34075;1ML00048;2
745;39730;1ML00742;2
746;39729;1ML00743;2
384;73351;1ML00050;2
385;73352;1ML00051;2
387;74371;1ML00052;2
388;74680;1ML00053;2
389;74681;1ML00054;2
541;95201;1ML00055;2
542;95202;1ML00056;2
1103;61738;1ML00780;2
327;58486;1ML00059;2
743;38576;1ML00058;2
624;28571;1ML00445;2
964;28570;1ML00444;2
802;44868;1ML00060;2
803;44869;1ML00061;2
