1101084- 1;PESA DE VERIFICACION DE 15 Kg (FC);145,45
1103015 - 1;CHAPA GALVANIZADA 2500*1250*1,5;7,18
1466002 - 1;GUIA ASCENSOR ISO 7465/2007 T-50;43,05
1466002-1;GUIA ASCENSOR ISO 7465/2007-T-50/A LONG=5 M.(FC);48,2
1466012-1;GUIA ASCENSOR ISO 7465/2007-T-82/A LONG=5 M.(FC);96,31
1466025-1;GUIA ASCENSOR ISO 7465/2007-T-70/A LONG=5 M.(FC);94,5
1466031 - 1;GUIA ASCENSOR ISO 7465/2007-T-125/B LONG=5 M;18,45
1466040 - 1;GUIA ASCENSOR ISO 7465/2007 T-125;143,22
1466097 - 1;GUIA DE ASCENSOR T-120/B LONG=5;149,2
1466098 - 1;GUIA DE ASCENSOR T-120/B LONG=2,5;155,45
1466106- 1;KIT DE ACCESORIOS EMPALME GUIA T-125B/127B (FC);95,18
1466107- 1;KIT DE ACCESORIOS EMPALME DE GUIA T-127/B;104,95
1466109- 1;KIT DE ACCESORIOS EMPALME DE GUIA T-140-2B (FC);288,61
1466118- 1;PLACA EMPALME GUIAS T-125/B-BE,T127-2/B-BE;86,18
1466119- 1;PLACA DE EMPALME GUIAS T-140-2/B (FC) ;186,39
1466122- 1;TORNILLERIA EMPALME T50-A ;6,5
1466123- 1;TORNILLERIA EMPALME T65/A ;6,27
1466124- 1;GRUPO FIJACION PLACA DE EMPALME T-70, T-90A,T-90B(FC) ;10,02
1466125- 1;TORNILLERIA EMPALME T120/B,T125/B,T127-2/B-BE ;24,46
1466126- 1;TORNILLERIA EMPALME T140-2/B;44,98
1466128- 1;PLACA DE EMPALME DE GUIAS T-120(FC);41,09
1466129- 1;PLACA DE EMPALME DE GUIAS T-50(FC) ;9,15
1466130- 1;PLACA DE EMPALME DE GUIAS T-65(FC) ;9,34
1466131- 1;PLACA DE EMPALME DE GUIAS T-70(FC) ;16,29
1466132- 1;PLACA DE EMPALME DE GUIAS T-82(FC);17,69
1466133- 1;PLACA DE EMPALME DE GUIAS T-90(FC) ;28,43
1466134- 1;PLACA DE EMPALME DE GUIAS T-125(FC);65,36
1466136- 1;GRUPO FIJACION PLACA DE EMPALME T-50(FC) ;3,4
1466137 - 1;GRUPO FIJACION PLACA DE EMPALME T=70;8,43
1466138- 1;GRUPO FIJACION PLACA DE EMPALME T-120(FC) ;21,55
1990486- 1;CONJUNTO MOTOR TECHO CORTO EN81.21;1286,4
2184034- 2;PERFIL ZOCALO CABINA TDS LONGITUD=3200;10,58
250016 - 1;PUERTAS RELLANO CENTRAL 2H. ME COMPACT NO MRL;1260,59
