numeracion;denominacion;PRECIO NUEVO;tipo;medida;estado
5102339 - 1;CABLE CONEXION ENCODER MOTOR G;87,00;Orona;Y;1
5102339 - 2;CABLE CONEXION ENCODER MOTOR M;109,00;Orona;Y;1
5102461 - 1;CONEXION ENCODER MOTOR ASINCRO;876,00;Orona;Y;1
5102510 - 1;CONJ. ENCODER MOTOR CONTROL TE;990,00;Orona;Y;1
5110085 - 1;CAPTADOR ORNA OR3 DE POSICION;288,00;Orona;Y;1
5110086 - 1;CAPTADOR ORONA OR4 2 CONTACTOS;222,00;Orona;Y;1
5110087 - 1;CAPTADOR ORONA DE POSICION ORS *8460260 - 1*;350,00;Orona;Y;1
5110102 - 1;INTERRUPTORES MAGNETICOS CO-CU;100,00;Orona;Y;1
5110136 - 1;INTERRUPTOR CMC;108,00;Orona;Y;1
5113801 - 1;PULSADOR DE LLAMADA 1 CAB.4TH;24,00;Orona;Y;1
5113801 - 10;PULSADOR DE LLAMADA 10 CAB.4TH;24,00;Orona;Y;1
5113801 - 11;PULSADOR DE LLAMADA  # 11;24,00;Orona;Y;1
5113801 - 12;PULSADOR DE LLAMADA  # 12;24,00;Orona;Y;1
5113801 - 13;PULSADOR DE LLAMADA  # 13;24,00;Orona;Y;1
5113801 - 14;PULSADOR DE LLAMADA  # 14;24,00;Orona;Y;1
5113801 - 15;PULSADOR DE LLAMADA  # 15;24,00;Orona;Y;1
5113801 - 16;PULSADOR DE LLAMADA # 16 4TH;24,00;Orona;Y;1
5113801 - 2;PULSADOR DE LLAMADA 2 CAB.4TH;24,00;Orona;Y;1
5113801 - 3;PULSADOR DE LLAMADA 3 CAB.4TH;24,00;Orona;Y;1
5113801 - 4;PULSADOR DE LLAMADA 4 CAB.4TH;24,00;Orona;Y;1
5113801 - 47;PULSADOR DE LLAMADA -1 CAB.4TH;24,00;Orona;Y;1
5113801 - 48;PULS. LLAMADA -2  CAB   4TH;24,00;Orona;Y;1
5113801 - 5;PULSADOR DE LLAMADA 5 CAB.4TH;24,00;Orona;Y;1
5113801 - 54;PULS. DE LLAMADA -8 CAB.4THA;24,00;Orona;Y;1
5113801 - 55;PULSADOR DE LLAMADA -9;24,00;Orona;Y;1
5113801 - 6;PULSADOR DE LLAMADA 6 CAB.4TH;24,00;Orona;Y;1
5113801 - 7;PULSADOR DE LLAMADA 7 CAB.4TH;24,00;Orona;Y;1
5113801 - 8;PULSADOR DE LLAMADA 8 CAB.4TH;24,00;Orona;Y;1
5113801 - 46;PULSADOR DE LLAMADA 0 CAB.4TH;24,00;Orona;Y;1
5113802 - 12;PULS. DE LLAMADA ESPECAIL L;24,00;Orona;Y;1
5113802 - 13;PULS. DE LLAMADA ESPECAIL M;24,00;Orona;Y;1
5113802 - 15;PULS. ESPECIALBAJADA CAB P;24,00;Orona;Y;1
5113802 - 16;PULSADOR LLAMADA ESP. PB 4TH G;24,00;Orona;Y;1
5113802 - 17;PULS. DE LLAMADA ESPE. P14TH;24,00;Orona;Y;1
5113802 - 18;PULS. DE LLAMADA ESP. P2 4THA;24,00;Orona;Y;1
5113802 - 20;PILS. DE LLAMDA ESPECIAL S 4TH;24,00;Orona;Y;1
5113802 - 42;PULS. DE LLAMADA ESPECIAL ALAR *5113802 - 50*;24,00;Orona;Y;1
5113802 - 43;PULS. DE LLAMADA ESPECIAL ABRI;24,00;Orona;Y;1
5113802 - 44;PULS. LLAMADA ESPECIAL CERRA;24,00;Orona;Y;1
5113802 - 47;PULS. DE LLAMADA ESPECIABRIR;24,00;Orona;Y;1
5113802 - 48;PUL. DE LLAMADA ESPE. CERRAR;24,00;Orona;Y;1
5113802 - 50;PULS.LLAMADA ESPECIAL ALARMA;24,00;Orona;Y;1
5113802 - 51;PUL. LLAMADA ESP VENTILADOR;24,00;Orona;Y;1
5113802 - 8;PULSADOR DE LLAMADA ESP. G4T;24,00;Orona;Y;1
5113802 - 9;PULSADOR DE LLAMADA 9 CAB.4TH;24,00;Orona;Y;1
5113803 - 1;PULSADSIN INSCCABINA 4TH GE;24,00;Orona;Y;1
5113803 - 2;PULS. ESPECAIL SUBIDA CABINA;24,00;Orona;Y;1
5113803 - 3;PULS. ESPECIAL BAJADA;24,00;Orona;Y;1
5113804 -  4;PULS. LLAMADA LLAVE SGAR4TH;123,00;Orona;Y;1
5113804 - 1;PULSADOR LLAVE SGAR4TH # 1;123,00;Orona;Y;1
5113804 - 11;PULS.  LLAMADA LLAVE SGAR 114T;123,00;Orona;Y;1
5113804 - 12;PULSADOR LLAMADA LLAVE SGAR12;123,00;Orona;Y;1
5113804 - 14;PULS.LLAMADA LLAVE SGAR14 4TH;123,00;Orona;Y;1
5113804 - 15;PULS.LLAMADA LLAVE SGAR15 4TH;123,00;Orona;Y;1
5113804 - 16;PULS.LLAMADA LLAVE SGAR16 4TH;123,00;Orona;Y;1
5113804 - 17;PULS.LLAMADA LLAVE SGAR17 4TH;123,00;Orona;Y;1
5113804 - 18;PULS.LLAMADA LLAVE SGAR18 4TH;123,00;Orona;Y;1
5113804 - 19;PULS.LLAMADA LLAVE SGAR19 4TH;123,00;Orona;Y;1
5113804 - 2;PULS. LLAMADA LLAVE SGAR24TH;123,00;Orona;Y;1
5113804 - 20;PULS.LLAMADA LLAVE SGAR20 4TH;123,00;Orona;Y;1
5113804 - 21;PULS.LLAMADA LLAVE SGAR21 4TH;123,00;Orona;Y;1
5113804 - 22;PULS.LLAMADA LLAVE SGAR22 4TH;123,00;Orona;Y;1
5113804 - 23;PULS.LLAMADA LLAVE SGAR23 4TH;123,00;Orona;Y;1
5113804 - 24;PULS.LLAMADA LLAVE SGAR24 4TH;123,00;Orona;Y;1
5113804 - 25;PULS.LLAMADA LLAVE SGAR25 4TH;123,00;Orona;Y;1
5113804 - 26;PULS.LLAMADA LLAVE SGAR26 4TH;123,00;Orona;Y;1
5113804 - 27;PULS.LLAMADA LLAVE SGAR27 4TH;123,00;Orona;Y;1
5113804 - 28;PULS.LLAMADA LLAVE SGAR28 4TH;123,00;Orona;Y;1
5113804 - 29;PULS.LLAMADA LLAVE SGAR29 4TH;123,00;Orona;Y;1
5113804 - 3;PULS. LLAMADA LLAVE SGAR34TH;123,00;Orona;Y;1
5113804 - 30;PULS.LLAMADA LLAVE SGAR30 4TH;123,00;Orona;Y;1
5113804 - 31;PULSADORLLAMADA LLAVE31 4TH;123,00;Orona;Y;1
5113804 - 5;PULSADOR LLAVE SGAR4TH # 5;123,00;Orona;Y;1
5113804 - 67;PULSADOR LLAMADA LLAVE674TH;123,00;Orona;Y;1
5113804 - 76;PULSADOR LLAMADA LLAVE764TH;123,00;Orona;Y;1
5113804 - 65;PULSADORLLAMADA LLAVE65 4TH;123,00;Orona;Y;1
5113804 - 66;PULSADORLLAMADA LLAVE66 4TH;123,00;Orona;Y;1
5113804 - 68;PULSADORLLAMADA LLAVE68 4TH;123,00;Orona;Y;1
5113804 - 70;PULSADORLLAMADA LLAVE70 4TH;123,00;Orona;Y;1
5113804 - 73;PULSADORLLAMADA LLAVE73 4TH;123,00;Orona;Y;1
5113804 - 74;PULSADORLLAMADA LLAVE74 4TH;123,00;Orona;Y;1
5113804 - 75;PULSADORLLAMADA LLAVE75 4TH;123,00;Orona;Y;1
5113804 - 77;PULSADORLLAMADA LLAVE77 4TH;123,00;Orona;Y;1
5113804 - 78;PULSADORLLAMADA LLAVE78 4TH;123,00;Orona;Y;1
5113804 - 79;PULSADORLLAMADA LLAVE79 4TH;123,00;Orona;Y;1
5113804 - 80;PULSADORLLAMADA LLAVE80 4TH;123,00;Orona;Y;1
5113804 - 82;PULSADORLLAMADA LLAVE82 4TH;123,00;Orona;Y;1
5113804 - 83;PULSADORLLAMADA LLAVE83 4TH;123,00;Orona;Y;1
5113804 - 10;PULSADOR LLAMADA LLAVE#10 4TH;123,00;Orona;Y;1
5113804 - 13;PULSADOR LLAMADA LLAVE SGAR13;123,00;Orona;Y;1
5113804 - 6;PULSADOR LLAMADA LLAVE#6 4TH;123,00;Orona;Y;1
5113804 - 7;PULSADOR LLAMADA LLAVE SGAR07;123,00;Orona;Y;1
5113804 - 8;PULSADOR LLAMADA LLAVE SGAR08;123,00;Orona;Y;1
5113804 - 9;PULSADOR LLAMADA LLAVE SGAR09;123,00;Orona;Y;1
5113805 - 10;INT. LLAVE 1SALIDA SGAR11 4TH;122,00;Orona;Y;1
5113805 - 11;INT. LLAVE A LLAVE 1 SALISGA11;122,00;Orona;Y;1
5113805 - 2;INT. LLAVE 1 SALIDA SGAR024TH;122,00;Orona;Y;1
5113805 - 3;INT. LLAVE 1SALIDA SGAR03 4TH;122,00;Orona;Y;1
5113805  - 4;INT. LLAVE 1SALIDA SGAR04 4TH;122,00;Orona;Y;1
5113805 - 5;INT. LLAVE 1SALIDA SGAR05 4TH;122,00;Orona;Y;1
5113805 - 7;INT. LLAVE 1SALIDA SGAR07 4TH;122,00;Orona;Y;1
5113805 - 8;INT. LLAVE 1SALIDA SGAR08 4TH;122,00;Orona;Y;1
