8012016 - 1;ZARPA PARED DIST 130MM M34;19
9012086 - 1;TORNILLERIA ZARPAS M34 HORMIGON T-120L1/T-50(FC);41
9262966 - 1;TORNILLERIA FIJACION PUERTA RELLANO PL=900/1000 LADRI;6
9080001 - 1;CABLE DE TRACCION SDR;17
6105025 - 1;CONTRAPESO HORMIGON 505*200*110;40
9200003 - 1;CONJUNTO ACCESORIOS ESCALERA EN FOSO M34 SIN INTERRUPTOR;73
5102707 - 1;CONEXION GUIAS A TIERRA L=6;12
5102708 - 1;CONEXION GUIAS A TIERRA L=10;24
9460102 - 1;CONEXIÓN BUS CAN OPERADOR ORONA V3F ARCA II IC5=4;27
9460112 - 1;CONEXIÓN PARACAIDASARCA II IC4=6;35
9011839 - 1;TORNILLERIA AMARRE GUIAS ARMADURA ;34
9093855 - 1;CAJA COMPONENTES CHASIS;483
