CodCoti;Callcenter;Observacion_Evento
7478;31856;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2019
7467;31791;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2020
7463;31785;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2021
7459;31135;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2022
7458;28923;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2023
7428;28516;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2024
7424;31773;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2025
7422;31757;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2026
7416;31648;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2027
7413;31738;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2028
7403;31686;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2029
7395;31732;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2030
7394;31649;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2031
7390;31650;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2032
7371;31375;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2033
7366;31390;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2034
7365;31543;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2035
7364;31605;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2036
7358;31608;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2037
7347;31589;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2038
7344;31512;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2039
7330;31475;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2040
7329;31511;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2041
7321;31514;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2042
7319;31303;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2043
7318;31502;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2044
7305;31377;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2045
7304;31487;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2046
7302;31429;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2047
7300;;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2048
7298;31322;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2049
7295;31374;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2050
7291;31369;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2051
7286;31355;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2052
7281;31016;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2053
7266;31325;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2054
7248;31311;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2055
7247;31323;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2056
7235;31107;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2057
7233;31118;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2058
7231;31096;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2059
7230;31095;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2060
7224;31135;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2061
7223;31101;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2062
7222;31138;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2063
7218;31131;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2064
7198;30961;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2065
7197;30918;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2066
7192;30986;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2067
7191;31025;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2068
7190;30955;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2069
7188;31043;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2070
