codigo;numeracion;denominacion;VENTA UNIDAD
1;1000084-88;CERRADA. DENTADA. RPP5. 9 MM. L: 450 MM;216
2;1101084-1;PESA DE VERIFICACION DE 15 Kg (FC);83
3;1103015-1;CHAPA GALVANIZADA 2500*1250*1,5;4
4;1112001;MEMORIA EXTRAIBLE PARA CPU;151
5;11190008-1;OMALA S2 G220 (Incremento de aceite de motor con sala de maquinas) 1litro;9
6;11190008-2;OMALA S2 G220 (Cambio general de aceite de motor con sala de máquinas) 1litro;11
7;1466002-1;GUIA ASCENSOR ISO 7465/2007-T-50/A LONG=5 M.(FC) X METRO;25
8;1466012-1;GUIA ASCENSOR ISO 7465/2007-T-82/A LONG=5 M.(FC) X METRO;55
9;1466025-1;GUIA ASCENSOR ISO 7465/2007-T-70/A LONG=5 M.(FC) X METRO;54
10;1466031-1;GUIA ASCENSOR ISO 7465/2007-T-125/B LONG=5 M X METRO;11
11;1466040-1;GUIA ASCENSOR ISO 7465/2007 T-125 X METRO;82
12;1466097-1;GUIA DE ASCENSOR T-120/B LONG=5 X METRO;85
13;1466098-1;GUIA DE ASCENSOR T-120/B LONG=2,5 X METRO;89
14;1466118-1;PLACA EMPALME GUIAS T-125/B-BE,T127-2/B-BE;49
15;1466119-1;PLACA DE EMPALME GUIAS T-140-2/B (FC);107
16;1466122-1;TORNILLERIA EMPALME T50-A;4
17;1466123-1;TORNILLERIA EMPALME T65/A;4
18;1466124-1;GRUPO FIJACION PLACA DE EMPALME T-70, T-90A,T-90B(FC);6
19;1466125-1;TORNILLERIA EMPALME T120/B,T125/B,T127-2/B-BE;14
20;1466126-1;TORNILLERIA EMPALME T140-2/B;26
21;1466128-1;PLACA DE EMPALME DE GUIAS T-120(FC);23
22;1466129-1;PLACA DE EMPALME DE GUIAS T-50(FC);5
23;1466130-1;PLACA DE EMPALME DE GUIAS T-65(FC);5
24;1466131-1;PLACA DE EMPALME DE GUIAS T-70(FC);9
25;1466132-1;PLACA DE EMPALME DE GUIAS T-82(FC);10
