codigo;numeracion;denominacion;precio
1;1000084-88;CERRADA. DENTADA. RPP5. 9 MM. L: 450 MM;216
2;1101084-1;PESA DE VERIFICACION DE 15 Kg (FC);104
3;1103015-1;CHAPA GALVANIZADA 2500*1250*1,5;5
4;1112001;MEMORIA EXTRAIBLE PARA CPU;188
5;11190008-1;OMALA S2 G220 (Incremento de aceite de motor con sala de maquinas) 1litro;12
6;11190008-2;OMALA S2 G220 (Cambio general de aceite de motor con sala de máquinas) 1litro;14
7;1466002-1;GUIA ASCENSOR ISO 7465/2007-T-50/A LONG=5 M.(FC) X METRO;31
8;1466012-1;GUIA ASCENSOR ISO 7465/2007-T-82/A LONG=5 M.(FC) X METRO;69
9;1466025-1;GUIA ASCENSOR ISO 7465/2007-T-70/A LONG=5 M.(FC) X METRO;68
10;1466031-1;GUIA ASCENSOR ISO 7465/2007-T-125/B LONG=5 M X METRO;13
11;1466040-1;GUIA ASCENSOR ISO 7465/2007 T-125 X METRO;102
12;1466097-1;GUIA DE ASCENSOR T-120/B LONG=5 X METRO;107
13;1466098-1;GUIA DE ASCENSOR T-120/B LONG=2,5 X METRO;111
14;1466118-1;PLACA EMPALME GUIAS T-125/B-BE,T127-2/B-BE;62
15;1466119-1;PLACA DE EMPALME GUIAS T-140-2/B (FC);133
16;1466122-1;TORNILLERIA EMPALME T50-A;5
17;1466123-1;TORNILLERIA EMPALME T65/A;4
18;1466124-1;GRUPO FIJACION PLACA DE EMPALME T-70, T-90A,T-90B(FC);7
19;1466125-1;TORNILLERIA EMPALME T120/B,T125/B,T127-2/B-BE;17
20;1466126-1;TORNILLERIA EMPALME T140-2/B;32
21;1466128-1;PLACA DE EMPALME DE GUIAS T-120(FC);29
22;1466129-1;PLACA DE EMPALME DE GUIAS T-50(FC);7
23;1466130-1;PLACA DE EMPALME DE GUIAS T-65(FC);7
24;1466131-1;PLACA DE EMPALME DE GUIAS T-70(FC);12
25;1466132-1;PLACA DE EMPALME DE GUIAS T-82(FC);13
26;1466133-1;PLACA DE EMPALME DE GUIAS T-90(FC);20
27;1466134-1;PLACA DE EMPALME DE GUIAS T-125(FC);47
28;1466136-1;GRUPO FIJACION PLACA DE EMPALME T-50(FC);2
29;1466137-1;GRUPO FIJACION PLACA DE EMPALME T=70;6
30;1466138-1;GRUPO FIJACION PLACA DE EMPALME T-120(FC);15
31;1990486-1;CONJUNTO MOTOR TECHO CORTO EN81.21;919
32;2184034-2;PERFIL ZOCALO CABINA TDS LONGITUD=3200;8
33;250016-1;PUERTAS RELLANO CENTRAL 2H. ME COMPACT NO MRL;900
34;3280010-1;BRIDA DE CHAPA SL-1;1
35;3280011-1;BRIDA DE CHAPA SL-2;2
36;3280012-1;BRIDA DE CHAPA SL-3 (FC);4
37;3301062-1;SOPORTE PASAMANOS INOXIDABLE PINTADO IZQUIERDO OR02;40
38;3301062-2;SOPORTE PASAMANOS INOXIDABLE CROMADO IZDO.OR02;125
39;3301062-3;SOPORTE PASAMANOS INOXIDABLE PINTADO DCHO.OR02;53
40;3301062-4;SOPORTE PASAMANOS INOXIDABLE CROMADO DCHO.OR02;39
41;3301100-1;PLACA DE SEÑALIZACION ORONA_96;23
42;3301101-1;PLACA ZAMAK R.A.E. Y Kg /PERSONAS;11
43;3301103-1;PLACA CIEGA CABINA MD-15;1
44;3301105-1;PULSANTE DE CABINA;3
45;3301107-1;PULSADOR METAL.DE CABINA CON HALO;6
46;3301109-75;"""""""CUERPO PULSADOR CABINA """"""""SIN INSCRIPC."""""""" """"""";5
47;3301109-71;CUERPO PULSADOR CABINA }APERTURA PUERTA };6
48;3301110-1;MARCO BOTONERA PISO 2 PULSADORES;18
49;3301111-1;MARCO BOT.PISO 1 PULSADOR;24
50;3301117-1;PULSANTE CABINA PARA LLAVE;2
51;3401101-1;CASQUILLO SELFOIL B-10-14-10/18-2;2
52;3401103-1;CASQUILLO SELFOIL A-10-15-10;4
53;3401105-1;CASQUILLO SELFOIL B-14-20-20/25-3;6
54;4101037-1;REPUESTO ENCODER SM225.60B - SM250.60B(FC);2265
55;4101093-1;ROTOR-ESTAT.10CV.180C/H.1800 RPM.60HZ.220/380 (FC);4105
56;4101100-1;ROTOR-ESTATOR 7,5CV 90 CONEXIONES/HORA VENTILACION PROPIA;3446
57;4101101-1;ROTOR-ESTATOR 10CV 90 C/H.VEN.PROPIO(FC);3676
58;4101102-1;Encoder de eje cónico para máquina gearless(FC);629
59;4101103-1;ROTOR-ESTATOR 7,5CV 180 CONEXIONES/HORA VENTILACION AUXILIAR;3795
60;4101104-1;ROTOR-ESTATOR 10CV 180CONEXIONES/HORA VENTILACION AUXILIAR;4023
61;4101114-1;ROTOR-ESTATOR 10 CV 180 CONEXIONES/HORA M321 (FC);5885
62;4101131-1;ENCODER MAQUINA GEARLESS (FC);1214
63;4101154-1;MODULO TIRISTORES SEMIKRON SKK7 57/12E;692
64;4101155-1;MODULO DE DIODOS SEMIKRON SKKD 81/12;865
65;4101156-1;ENCODER MAQUINA O-170 ORONA V3F (FC);792
66;4101157-1;ACOPLAMIENTO FLEXIBLE D.6-D.6,SERIE 5801(FC);199
67;4101159-1;ENCODER MAQUINA O-140 V3F/LC (FC);792
68;4101200-1;MOTO-VENTILADOR O-130/O-170 TIPO:VA-132/60M57.47.051;1458
69;4101201-1;MOTO VENTILADOR O-170 TIPO:VA-180/60M57,47.052;1666
70;4101203-1;MOTO-VENTILADOR VMC 12 220V 50 Hz REIVAJ;987
71;4101205-1;TERMOCONTACTO 06.30.158;108
72;4101210-1;ROTOR MOTOR O-170 10 HP REIVAJ;446
73;4104006-1;ROTOR-ESTATOR VF 4,5CV 90CONEXIONES/HORA 220/380 (FC);3859
74;4104018-1;ROTOR-ESTATOR 5,5CV 90CONEXIONES/HORA 230/400 (FC);2942
75;4104019-1;ROTOR-ESTATOR 5,5CV 180CONEXIONES/HORA 230/400 (FC);3274
76;4104046-1;ROTOR-ESTATOR 7,5 CV 90 CONEXIONES/HORA 230/400 (FC);3163
77;4104071-1;ROTOR-ESTATOR VF 7,5 CV 5,5 KW.180CONEXIONES/HORA 220/380 (FC);3768
78;4104090-1;VENTILADOR ALUMINIO MAQUINA O-130 1 V.;316
79;4104091-1;VENTILADOR ALUMINIO MAQUINA O-130 2 VELOCIDADES;524
80;4104092-1;VENTILADOR MOTOR LANCOR 4,5 CV MOD.ANTI.;615
81;4104095-1;TAPA VENTILADOR LANCOR 4,5 CV;48
82;4104096-1;ESCOBILLAS MOTOR Y GENERA.ROTOS 12X24X35;479
83;4104097-1;ROTOR MOTOR LANCOR 5,5 CV O-130 2 VEL.;1393
84;4104098-1;ROTOR MOTOR LANCOR 4,5 CV O-130 1 VEL.;1010
85;4104104-1;KIT VENTILACION FORZADA 220/230V (REIVAJ) (FC);698
86;4104106-1;KIT VENTILACION FORZADA 380/400V (LANCOR) (FC);1291
87;4104107-1;KIT VENTILACION FORZADA 220/230V (LANCOR) (FC);1122
88;4104108-1;KIT VENTILACION FORZADA 220/230V.O-130(C.E.G) (FC);515
89;4104109-1;KIT VENTILACION FORZADA 220/230V.O-170(C.E.G) (FC);561
90;4104110-1;RESISTOR (TERMISTOR) STM 150 DK (LANCOR-LASA);23
91;4104113-1;MOTOR M322 2V.4 CV.230/400V.50HZ.(FC);3109
92;4104113-2;MOTOR M322 2VELOCIDADES 5,5 CV 230/400V 50Hz (FC);3357
93;4104113-3;MOTOR M322 2V.7,5 CV.230/400V.50HZ.(FC);3689
94;4104113-5;MOTOR M322 2V.5,5 CV.240/415V.50HZ.(FC);3260
95;4104113-6;MOTOR M322 2V.7,5 CV.240/415V.50HZ.(FC);3754
96;4104120-2;MOTOR 5,5CV 230/400 M322 (FC);2987
97;4110010-1;MOTOR MONOF.220V 4,1 KG/CM I=0,3 A 50HZ;549
98;4110023-1;MOTOR 14KG/CM 220/380V CC/CD-890 (FH);1504
99;4291001-1;BOTE DE LOCTITE N 638;202
100;4291011-1;LOCTITE 273 FIJATORNILLO 250GR;1168
101;4316094-1;CIRIKEM 25 LIMPIADOR DESENGRASANTE;18
102;4322128-1;KIT ELÉCTRICO PARA CONSERVACIÓN (ESPAÑOL);337
103;469012-3;CUADRO MANIOBRA PRINCIPAL ARCA II;1706
104;469013-1;CUADRO DE POTENCIA CON SALA DE MAQUINA ARCA II;4407
105;5101008-1;ELECTROIMAN LINEAL DE SIMPLE EFECTO ER60-05/C(FC);339
106;5101011-1;GRUPO BOBINA ELECTROIMAN G-556 60V. C.C.;992
107;5101014-1;BOBINA LEVA ELECTR.;421
108;5101015-1;BOBINA LEVA ELECTR.;130
109;5101016-1;BOBINA LEVA ELECT.60V/0,55D./3150ESPIRAS;139
110;5101017-1;BOBINA CUQA RETRACT.GERVALL T-612 V 65CC;441
111;5101018-1;BOBINA ELECTROFRENO SICOR ELT0015 (V200 MR35);11734
112;5101025-1;BOBINA TELEMECANICA LX1 D16 110 V;59
113;5101027-1;BOBINA TELEMECANICA LX1 D09 380 V;46
114;5101028-1;BOBINA TELEMECANICA LX1 D09 380/440 V;38
115;5101029-1;BOBINA TELEMECANICA LX1 D09 24 V;104
116;5101031-1;BOBINA TELEMECANICA LX1 D25 380/400 V;145
117;5101032-1;BOBINA TELEMECANICA LX1 D09 110 F;81
118;5101033-1;BOBINA TELEMECANICA LX1 D25 110 F;41
119;5101034-1;BOBINA TELEMECANICA LX6 D40 110 F;234
120;5101035-1;BOBINA TELEMECANICA LX6 D40 110 V 50 H.;142
121;5101036-1;BOBINA TELEMECANICA LX6 D40 220 V 50 H.;271
122;5101040-1;BOBINA SELECTOR SIL CS 60V;153
123;5102006-1;CABLE FLEX.UNIP.H07V-K 10 M/M2 NEGRO;8
124;5102010-1;CONEXION DOBLE MICROFONO-ALTAVOZ PICTOGRAMAS;48
125;5102020-1;CABLE FLEX.UNIP.H07V-K AMA-VERDE 10 M/M2;8
126;5102070-1;CABLE MULTIPLE DO.CAPA 12X0,75 H05VVH6-F;10
127;5102071-1;CABLE MULTIPLE DO.CAPA 14X0,75 H05VVH6-F;12
128;5102073-1;CABLE MULTIPLE DO.CAPA 20X0,75 H05VVH6-F;17
129;5102125-1;CABLE FLEXI.UNIP.H07V-K 2,5 M/M2 AZUL;2
130;5102138-1;CONEXION ILUMINACION MANGUERA INICIAL L=2;18
131;5102139-2;MANGUERA CONEXION ILUMINACION L=0,6;7
132;5102148-1;CONEXION ILUMI.CABLE-PORTALAMPARAS HALOGENAS O LED;13
133;5102154-1;LAMPARA CFL GX0 109i MEGAMAN 9W 230/240V BASE GX53;88
134;5102156-1;TERMINAL DESNUDO TUBULAR 10MM2/TORNI.M6 (FC);1
135;5102170-1;MANGUITO PREAISLADO ROJO AMP REFERENCIA 34070;1
136;5102171-1;TERM.PREAIS.ROJ.FAST.HEMBRA 6,35X0,8AMP;1
137;5102175-1;TERMI.PREAIS.AZUL FASTON HEMBRA 6,35X0,8 EF 25063;1
138;5102178-1;TERMINALES BURNDY REFERENCIA FFYG25;1
139;5102183-1;CABLE CONEX CABINA PRESENTE 85 MM;9
140;5102183-2;CABLE CONEX CABINA PRESENTE 1500 MM;9
141;5102185-1;CABLE CONEXION TELESERV.CON PDCC LINEA TELEF.+ALARMA;11
142;5102186-1;CABLE CONEXION TELESERV.CON PDCC LINEA BUS CAN;7
143;5102192-1;TERM.REDOND.PREAIS.AZUL BORNAJE 5MM.(FH);1
144;5102195-1;TERMINAL AMP LENGUE.2,8X0,5 REFERENCIA 140821-1;1
145;5102201-1;TERMINAL OTTO RATING REFERENCIA 7796.0004;1
146;5102206-1;TERMINAL EMPALME ROJO 0,5-0,75 MM2 AMP 735410-0;1
147;5102207-1;TERMINAL EMPALME AZUL 1-2,5 MM2 AMP 735398-0;1
