Guard;Station;ArriveTime;ArriveDate;Incident
10;386;00:00:00;2018-03-08;
10;382;00:00:00;2018-03-08;
10;722;00:00:00;2018-03-08;
10;725;00:00:00;2018-03-08;
10;756;00:00:00;2018-03-08;
10;757;00:00:00;2018-03-08;
10;758;00:00:00;2018-03-08;
10;787;06:43:01;2018-03-08;
10;705;00:00:00;2018-03-08;
10;762;00:00:00;2018-03-08;
10;763;00:00:00;2018-03-08;
10;734;00:00:00;2018-03-08;
10;803;00:00:00;2018-03-08;
10;786;00:00:00;2018-03-08;
10;845;00:00:00;2018-03-08;
10;5;00:00:00;2018-03-08;
10;718;00:00:00;2018-03-08;
10;727;00:00:00;2018-03-08;
10;759;00:00:00;2018-03-08;
10;652;00:00:00;2018-03-08;
10;738;06:43:04;2018-03-08;
10;844;06:42:57;2018-03-08;
10;844;06:43:12;2018-03-08;
10;753;00:00:00;2018-03-08;
10;782;00:00:00;2018-03-08;
10;783;00:00:00;2018-03-08;
10;781;00:00:00;2018-03-08;
10;796;00:00:00;2018-03-08;
10;386;00:00:00;2018-03-08;
10;382;00:00:00;2018-03-08;
10;722;00:00:00;2018-03-08;
10;725;00:00:00;2018-03-08;
10;756;00:00:00;2018-03-08;
10;757;00:00:00;2018-03-08;
10;758;00:00:00;2018-03-08;
10;787;00:00:00;2018-03-08;
10;705;00:00:00;2018-03-08;
10;762;00:00:00;2018-03-08;
10;763;00:00:00;2018-03-08;
10;734;00:00:00;2018-03-08;
10;803;00:00:00;2018-03-08;
10;786;00:00:00;2018-03-08;
10;845;00:00:00;2018-03-08;
10;5;00:00:00;2018-03-08;
10;718;00:00:00;2018-03-08;
10;727;00:00:00;2018-03-08;
10;759;00:00:00;2018-03-08;
10;652;00:00:00;2018-03-08;
10;738;00:00:00;2018-03-08;
10;844;06:48:41;2018-03-08;
10;753;00:00:00;2018-03-08;
10;782;00:00:00;2018-03-08;
10;783;00:00:00;2018-03-08;
10;781;00:00:00;2018-03-08;
10;796;00:00:00;2018-03-08;
10;386;00:00:00;2018-03-08;
10;382;00:00:00;2018-03-08;
10;722;00:00:00;2018-03-08;
10;725;00:00:00;2018-03-08;
10;756;00:00:00;2018-03-08;
10;757;00:00:00;2018-03-08;
10;758;00:00:00;2018-03-08;
10;787;06:48:53;2018-03-08;
10;787;06:49:19;2018-03-08;TEC LS Rutina 3
10;787;06:49:23;2018-03-08;
10;705;00:00:00;2018-03-08;
10;762;00:00:00;2018-03-08;
10;763;00:00:00;2018-03-08;
10;734;00:00:00;2018-03-08;
10;803;00:00:00;2018-03-08;
10;786;00:00:00;2018-03-08;
10;845;00:00:00;2018-03-08;
10;5;00:00:00;2018-03-08;
10;718;00:00:00;2018-03-08;
10;727;00:00:00;2018-03-08;
10;759;00:00:00;2018-03-08;
10;652;00:00:00;2018-03-08;
10;738;06:48:55;2018-03-08;TEC LS Rutina 1
10;738;06:49:09;2018-03-08;
10;844;00:00:00;2018-03-08;
10;753;00:00:00;2018-03-08;
10;782;00:00:00;2018-03-08;
10;783;00:00:00;2018-03-08;
10;781;00:00:00;2018-03-08;
10;796;00:00:00;2018-03-08;
10;390;00:00:00;2018-03-08;
10;391;00:00:00;2018-03-08;
10;392;00:00:00;2018-03-08;
10;393;00:00:00;2018-03-08;
10;394;00:00:00;2018-03-08;
10;395;00:00:00;2018-03-08;
10;396;00:00:00;2018-03-08;
10;587;00:00:00;2018-03-08;
10;588;00:00:00;2018-03-08;
10;589;00:00:00;2018-03-08;
10;532;06:43:23;2018-03-08;
10;590;00:00:00;2018-03-08;
10;591;00:00:00;2018-03-08;
10;75;00:00:00;2018-03-08;
10;229;00:00:00;2018-03-08;
10;14;00:00:00;2018-03-08;
10;15;00:00:00;2018-03-08;
10;323;00:00:00;2018-03-08;
10;405;00:00:00;2018-03-08;
10;166;00:00:00;2018-03-08;
10;167;00:00:00;2018-03-08;
10;164;00:00:00;2018-03-08;
10;165;00:00:00;2018-03-08;
10;306;00:00:00;2018-03-08;
10;429;00:00:00;2018-03-08;
10;430;00:00:00;2018-03-08;
10;683;00:00:00;2018-03-08;
10;328;00:00:00;2018-03-08;
10;170;00:00:00;2018-03-08;
10;431;00:00:00;2018-03-08;
10;432;00:00:00;2018-03-08;
10;514;00:00:00;2018-03-08;
10;599;00:00:00;2018-03-08;
10;505;00:00:00;2018-03-08;
10;506;00:00:00;2018-03-08;
10;507;00:00:00;2018-03-08;
10;384;00:00:00;2018-03-08;
10;385;00:00:00;2018-03-08;
10;388;00:00:00;2018-03-08;
10;389;00:00:00;2018-03-08;
10;383;00:00:00;2018-03-08;
10;387;00:00:00;2018-03-08;
10;476;00:00:00;2018-03-08;
10;117;00:00:00;2018-03-08;
10;119;00:00:00;2018-03-08;
10;340;00:00:00;2018-03-08;
10;422;00:00:00;2018-03-08;
10;423;00:00:00;2018-03-08;
10;443;00:00:00;2018-03-08;
10;444;00:00:00;2018-03-08;
10;445;00:00:00;2018-03-08;
10;446;00:00:00;2018-03-08;
10;416;00:00:00;2018-03-08;
10;219;00:00:00;2018-03-08;
10;685;06:43:20;2018-03-08;
10;537;00:00:00;2018-03-08;
10;538;00:00:00;2018-03-08;
10;126;00:00:00;2018-03-08;
10;673;00:00:00;2018-03-08;
10;390;00:00:00;2018-03-08;
10;391;00:00:00;2018-03-08;
10;392;00:00:00;2018-03-08;
10;393;00:00:00;2018-03-08;
10;394;00:00:00;2018-03-08;
10;395;00:00:00;2018-03-08;
10;396;00:00:00;2018-03-08;
10;587;00:00:00;2018-03-08;
10;588;00:00:00;2018-03-08;
10;589;00:00:00;2018-03-08;
10;532;06:48:50;2018-03-08;
10;590;00:00:00;2018-03-08;
10;591;00:00:00;2018-03-08;
10;75;00:00:00;2018-03-08;
10;229;00:00:00;2018-03-08;
10;14;00:00:00;2018-03-08;
10;15;00:00:00;2018-03-08;
10;323;00:00:00;2018-03-08;
10;405;00:00:00;2018-03-08;
10;166;00:00:00;2018-03-08;
10;167;00:00:00;2018-03-08;
10;164;00:00:00;2018-03-08;
10;165;00:00:00;2018-03-08;
10;306;00:00:00;2018-03-08;
10;429;00:00:00;2018-03-08;
10;430;00:00:00;2018-03-08;
10;683;00:00:00;2018-03-08;
